mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.028148412704467773,0.0029786834087233856,0.001609945297241211,4.3060956395092805e-05,squared_error,,1,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-481309.4375,-1094232.9878125,-833045.6690625,-565850.3125,-462176.93548387097,-687323.0684717742,242775.11675200955,85
0.009081602096557617,0.00018972409170592964,0.0016089916229248048,5.442214159993651e-06,squared_error,,1,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-664409.1875,-689483.0625,-774983.2315625,-871211.1065625,-778957.6583870968,-755808.8493024192,73449.59285165984,95
0.025374984741210936,0.003251118174326678,0.001488637924194336,5.2339997600207345e-05,squared_error,,1,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",-361487.541015625,-1112472.5216666667,-1011710.544279514,-600845.7005208334,-461996.914874552,-709702.6444714383,299297.1989573166,89
0.006556177139282226,0.0001646807090478466,0.0014365196228027343,1.6477742587920867e-05,squared_error,,1,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",-649671.7454427085,-687979.0039322916,-603273.1583854166,-376972.6256510416,-391006.3682101254,-541780.5803243166,131674.10124614852,12
0.022772884368896483,0.003104167154929026,0.0015271663665771484,0.00016907489132475553,squared_error,,1,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",-398863.9486358438,-1007345.7981618431,-814914.3492959007,-553840.5101546065,-393481.1780897166,-633689.1568675821,241528.63756727046,71
0.005041885375976563,0.00040806715485443854,0.0014643192291259766,6.89126869133827e-05,squared_error,,1,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",-475002.1531898384,-655196.9235746863,-729719.7477391139,-562751.9249440571,-353076.77936905174,-555149.5057633495,132513.42335669976,17
0.02449188232421875,0.002765894396923031,0.0014961719512939452,7.228395226214336e-05,squared_error,,2,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-351381.6354166667,-796150.8101475695,-846788.6655902778,-801895.4499826389,-408579.517921147,-640959.2158116599,214572.20876755271,76
0.0066435813903808595,0.00010561393008752774,0.0014647960662841797,6.989128308545848e-05,squared_error,,2,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-638276.9496527778,-597564.8344444444,-799668.6506597223,-485644.5999045139,-670642.9565322581,-638359.5982387433,102028.34499854114,73
0.02422304153442383,0.0031485538541876764,0.0016522884368896484,0.0001628747863574804,squared_error,,2,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",-407385.47808159725,-745822.7834548611,-807496.8201041666,-621410.6453472222,-466863.7703853047,-609795.8994746304,154352.4808477889,61
0.006287240982055664,0.0002047534870664606,0.0014891624450683594,6.0377263322203555e-05,squared_error,,2,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",-548204.4548611111,-639597.044296875,-621592.5921961805,-650104.3423090277,-312435.7709879033,-554386.8409302195,126109.29702044194,15
