mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.29922261238098147,0.04517008012463611,0.001692342758178711,1.1693112758843693e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-310620.07567135035,-196431.16332801894,-301988.89391601156,-249433.89929697532,-331839.35687192535,-278062.6778168563,49005.4900992794,1
0.008205509185791016,0.00023379266055312842,0.0015886783599853515,6.937916745550252e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-6258533.08939183,-4673893.54842518,-4888505.308201151,-5355744.57591584,-5496624.45825072,-5334660.196036944,550615.0820529924,45
0.30428924560546877,0.050549106052181325,0.0016689777374267578,3.2190711135543486e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-310620.07567135035,-196431.16332801894,-301988.89391601156,-249433.89929697532,-331839.35687192535,-278062.6778168563,49005.4900992794,1
0.042368841171264646,0.0006451545497944668,0.0016187667846679688,5.558714727546173e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-6258533.08939183,-4673893.54842518,-4888505.308201151,-5355744.57591584,-5496624.45825072,-5334660.196036944,550615.0820529924,45
0.27242603302001955,0.16112695641317157,0.001672983169555664,3.211738086119899e-05,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-425427.25466402184,-207696.06718883498,-302990.47788411356,-243119.0392929367,-364844.4408800461,-308815.4559819906,79136.13468711879,17
0.009733009338378906,0.00017531295378283435,0.0015537738800048828,3.6031981444001317e-06,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2314567.817109025,-1467372.8409212518,-1592095.9838064807,-1784100.6884503404,-1856714.6468534488,-1802970.3954281092,290540.93286179454,33
0.26933016777038576,0.16354504344001336,0.001645803451538086,2.3235233051820467e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-425427.25466402184,-207696.06718883498,-302990.47788411356,-243119.0392929367,-364844.4408800461,-308815.4559819906,79136.13468711879,17
0.051897716522216794,0.0026554130870801826,0.001617574691772461,6.181299506821917e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2314567.817109025,-1467372.8409212518,-1592095.9838064807,-1784100.6884503404,-1856714.6468534488,-1802970.3954281092,290540.93286179454,33
0.05655026435852051,0.0023122104915383333,0.0016125202178955077,2.75431148051437e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-255395.07952952557,-290196.542788001,-371737.8533343685,-252215.94875430042,-336499.7623634801,-301209.0373539351,46562.35744447294,15
0.009480571746826172,0.0001301427070600653,0.001542377471923828,1.098941554291757e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-267715.3575560442,-1236444.6593755314,-1152634.2567286852,-979339.2204253696,-722263.7954635315,-871679.4579098324,349478.91219499457,27
