mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04908576011657715,0.01671141607821294,0.00039348602294921877,2.625229995046078e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-128.03399997066367,-209.29220700045715,-133.88722845280705,-187.89411578448517,-129.07589344227753,-157.63668893013812,34.17566248795864,8
0.86439208984375,0.08630884972004514,0.0005266189575195313,6.908305766005684e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-27021.009919118944,-28691.618932782454,-23906.095041035238,-35172.25849179449,-16515.951001957837,-26261.386677337792,6105.859611447707,37
0.05064644813537598,0.01769967011430958,0.0004012584686279297,1.111040811123204e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-128.03399997066367,-209.29220700045715,-133.88722845280705,-187.89411578448517,-129.07589344227753,-157.63668893013812,34.17566248795864,8
0.8337001323699951,0.02857914584429071,0.00048699378967285154,1.937719775096326e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-27021.009919118944,-28691.618932782454,-23906.095041035238,-35172.25849179449,-16515.951001957837,-26261.386677337792,6105.859611447707,37
0.10446968078613281,0.05398868082829196,0.00041451454162597654,2.511470123453696e-05,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-118.11172690440378,-412.7866506122573,-135.85269916299055,-78.65018316681969,-103.8214136106219,-169.84453469141866,122.90489187941691,15
1.2229341983795166,0.009609251273113007,0.0005157470703125,2.072481526719317e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-60070.195937231125,-61722.75882919634,-64524.076122397586,-83140.33833113346,-38327.978420727384,-61557.06952813717,14258.117267359961,43
0.09955005645751953,0.05213575658952194,0.0003849983215332031,3.680410699453234e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-118.11172690440378,-412.7866506122573,-135.85269916299055,-78.65018316681969,-103.8214136106219,-169.84453469141866,122.90489187941691,15
1.2309565544128418,0.021101578435241665,0.0005057811737060547,3.931510079748078e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-60070.195937231125,-61722.75882919634,-64524.076122397586,-83140.33833113346,-38327.978420727384,-61557.06952813717,14258.117267359961,43
0.032335853576660155,0.006798849488616443,0.000354766845703125,9.924629776571423e-06,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-135.08521563703536,-215.51047326447346,-142.34355701046138,-95.3712984777238,-142.24167705368663,-146.11044428867612,38.8369344979051,1
0.4094889163970947,0.49128712839410155,0.0004040718078613281,6.849088163946664e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-39.42254910823913,-114279.22791038414,-32837.78038747386,-147672.99339303354,-84696.459871391,-75905.17682227815,53499.3219714145,47
0.031217050552368165,0.006673893987656488,0.0003551959991455078,7.32127517916022e-06,relu,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-135.08521563703536,-215.51047326447346,-142.34355701046138,-95.3712984777238,-142.24167705368663,-146.11044428867612,38.8369344979051,1
0.41878547668457033,0.45677170556778884,0.0004091739654541016,3.876026210012813e-05,relu,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-39.42254910823913,-114279.22791038414,-32837.78038747386,-147672.99339303354,-84696.459871391,-75905.17682227815,53499.3219714145,47
0.04788751602172851,0.015309927193607326,0.00035223960876464846,1.3645043344505908e-05,relu,0.001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-128.10807949772897,-209.2912796541567,-133.88712104171896,-187.89401959795694,-129.0755673007626,-157.65121341846483,34.162611626836046,10
0.8577902793884278,0.02433026943651512,0.00047249794006347655,2.8702824480884814e-05,relu,0.001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-27021.010017643675,-28691.619402256852,-23906.0954176564,-35172.25866470892,-16515.951213525997,-26261.386943158366,6105.85960514934,39
0.052252006530761716,0.019290980287248953,0.0004191875457763672,1.9880964638819418e-05,relu,0.001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-128.10807949772897,-209.2912796541567,-133.88712104171896,-187.89401959795694,-129.0755673007626,-157.65121341846483,34.162611626836046,10
0.8514548778533936,0.025542038774356287,0.0004693508148193359,1.953321964792978e-05,relu,0.001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-27021.010017643675,-28691.619402256852,-23906.0954176564,-35172.25866470892,-16515.951213525997,-26261.386943158366,6105.85960514934,39
0.09617748260498046,0.044838160647783044,0.0003689765930175781,1.8146520305485988e-05,relu,0.001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-118.11111213770653,-412.7862041989533,-135.85694668111012,-78.90310613033697,-105.27595707776841,-170.18666524517508,122.71187172249378,17
1.2198503017425537,0.015115377392515832,0.0004951000213623047,4.017663626735787e-05,relu,0.001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-60070.195506022705,-61722.7584926281,-64524.0756157831,-83140.33784852171,-38327.977982673576,-61557.06908912584,14258.117251109721,41
0.09892220497131347,0.04817352631001551,0.0003870487213134766,2.924244451182961e-05,relu,0.001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-118.11111213770653,-412.7862041989533,-135.85694668111012,-78.90310613033697,-105.27595707776841,-170.18666524517508,122.71187172249378,17
1.2216540336608888,0.027705320289815465,0.0004573345184326172,5.109848037759413e-05,relu,0.001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-60070.195506022705,-61722.7584926281,-64524.0756157831,-83140.33784852171,-38327.977982673576,-61557.06908912584,14258.117251109721,41
0.032786321640014646,0.008040214573800587,0.00038328170776367185,2.441043007173492e-05,relu,0.001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-134.7555538579685,-215.53696638883127,-142.3435925738603,-95.75049114545182,-142.24152756214977,-146.12562630565236,38.76662720488968,3
0.4056312084197998,0.4867721586870148,0.0004020214080810547,5.693311865657019e-05,relu,0.001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-39.42276579248092,-114279.2091349451,-32837.74261954513,-147672.96986596292,-84696.4460604954,-75905.1580893482,53499.31853113225,45
0.03121194839477539,0.008121759871643972,0.00037360191345214844,2.746184638202814e-05,relu,0.001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-134.7555538579685,-215.53696638883127,-142.3435925738603,-95.75049114545182,-142.24152756214977,-146.12562630565236,38.76662720488968,3
0.4238499641418457,0.4621838835601148,0.0004124641418457031,7.626398809707195e-05,relu,0.001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-39.42276579248092,-114279.2091349451,-32837.74261954513,-147672.96986596292,-84696.4460604954,-75905.1580893482,53499.31853113225,45
0.022869348526000977,0.026775791603699303,0.00033841133117675783,3.018043975533802e-06,tanh,0.0001,"(50,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-3603.0945795909897,-3437.038871817446,-3293.620617617139,-3175.250809911437,-3024.3757705523976,-3306.6761298978818,200.9949729820594,29
0.022457265853881837,0.007828446364088802,0.00034637451171875,1.1735813996608135e-05,tanh,0.0001,"(50,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-289.43129568452804,-252.5922323733139,-220.25336065427496,-260.99199591160396,-346.00323322245424,-273.85442356923505,42.281642457657334,20
0.025113248825073244,0.029437442049536796,0.00034842491149902346,5.47138173671477e-06,tanh,0.0001,"(50,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-3603.0945795909897,-3437.038871817446,-3293.620617617139,-3175.250809911437,-3024.3757705523976,-3306.6761298978818,200.9949729820594,29
0.06030483245849609,0.007351040709891534,0.0003772735595703125,1.928722311390767e-05,tanh,0.0001,"(50,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-175.76267169373256,-252.5922323733139,-220.25336065427496,-260.99199591160396,-346.00323322245424,-251.12069877107587,56.09621746553441,19
0.023658943176269532,0.013249495846635616,0.0003592967987060547,6.288106404918579e-06,tanh,0.0001,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-3508.1078623653048,-3548.3648565552344,-3579.6635083136844,-3315.333654812864,-3233.328736887404,-3436.9597237868984,137.18309723016804,33
0.036090421676635745,0.01651803733117815,0.000371551513671875,2.363910292692626e-05,tanh,0.0001,"(100,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-374.3845276276317,-348.6082206823455,-306.33117163446815,-302.96023020987013,-342.8595084462823,-335.02873172011954,27.005706804697493,22
0.021808147430419922,0.012096322903930267,0.000353240966796875,1.0652375625497788e-05,tanh,0.0001,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-3508.1078623653048,-3548.3648565552344,-3579.6635083136844,-3315.333654812864,-3233.328736887404,-3436.9597237868984,137.18309723016804,33
0.484222936630249,0.755102830826604,0.00041527748107910155,4.240404294073433e-05,tanh,0.0001,"(100,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-374.3845276276317,-210.27722295544712,-306.33117163446815,-190.60252836506308,-342.8595084462823,-284.89099180577847,72.50745068825141,21
0.025115203857421876,0.019574448446626407,0.00035614967346191405,3.889658643633482e-06,tanh,0.0001,"(50, 50)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-2260.9433139968246,-3416.930224219602,-3344.080422015384,-1776.0208965442798,-3033.853319727721,-2766.3656353007623,642.61539740639,27
0.020177173614501952,0.0057342950671457425,0.00035939216613769533,7.0316910812325394e-06,tanh,0.0001,"(50, 50)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-69.89994824436872,-75.84512269168941,-306.78111876557773,-150.83595845672716,-181.48900189679213,-156.97023001103102,86.30714785719171,6
0.024629878997802734,0.019176187958094806,0.00036540031433105467,2.620201744243793e-05,tanh,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2260.9433139968246,-3416.930224219602,-3344.080422015384,-1776.0208965442798,-3033.853319727721,-2766.3656353007623,642.61539740639,27
0.05923361778259277,0.006397143901868857,0.0003632545471191406,1.2023106416387954e-05,tanh,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-69.89994824436872,-75.84512269168941,-306.78111876557773,-150.83595845672716,-181.48900189679213,-156.97023001103102,86.30714785719171,6
0.017614078521728516,0.015281305064713925,0.00034704208374023435,5.673360335440005e-06,tanh,0.001,"(50,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-3606.863113124575,-3437.0386807947166,-3293.6206281133377,-3175.250817365179,-3024.37562076954,-3307.42977203347,202.10908739985743,31
0.04709858894348144,0.02704231230951878,0.0003448486328125,1.028753376528149e-05,tanh,0.001,"(50,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-158.03847379572588,-166.61324981856743,-190.10402719769192,-153.0120047724732,-128.80732886406,-159.31501688970368,19.86607113809923,12
0.01668257713317871,0.014429861545391234,0.00033822059631347654,9.190224452109044e-06,tanh,0.001,"(50,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-3606.863113124575,-3437.0386807947166,-3293.6206281133377,-3175.250817365179,-3024.37562076954,-3307.42977203347,202.10908739985743,31
0.08662691116333007,0.027009020622306402,0.00036640167236328124,2.6832589107986056e-05,tanh,0.001,"(50,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-142.73901999928165,-166.61324981856743,-190.10402719769192,-153.0120047724732,-128.80732886406,-156.25512613041485,20.974381352815577,5
0.02351236343383789,0.013062983555663607,0.00037822723388671877,2.396200424943156e-05,tanh,0.001,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-3507.8172767992905,-3548.364856078171,-3594.650867341811,-3315.3336574419964,-3239.692337121516,-3441.1717989565573,138.50415664921087,35
0.023466205596923827,0.0018877718331758424,0.0004017353057861328,4.8629675982700356e-05,tanh,0.001,"(100,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-324.3462606960826,-436.3445866721818,-459.38263437785884,-328.5784106668607,-423.24353061140516,-394.3790846048778,56.664003045056056,24
0.030586051940917968,0.01761347857298147,0.00047736167907714845,6.629209620443993e-05,tanh,0.001,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-3507.8172767992905,-3548.364856078171,-3594.650867341811,-3315.3336574419964,-3239.692337121516,-3441.1717989565573,138.50415664921087,35
0.09137177467346191,0.026132863607536166,0.0004726886749267578,3.456809593172422e-05,tanh,0.001,"(100,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-324.3462606960826,-436.3445866721818,-381.79388750879,-328.5784106668607,-423.24353061140516,-378.8613352310641,46.43914120688943,23
0.02782549858093262,0.025645534440653407,0.0003677845001220703,2.0540891766741482e-05,tanh,0.001,"(50, 50)",constant,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-2248.517802046092,-3416.930235890551,-3344.080430649543,-1633.044674373127,-3033.8533380415315,-2735.285296200169,689.3897586872647,25
0.021584844589233397,0.009281189409046372,0.0003638267517089844,2.9134321131564567e-05,tanh,0.001,"(50, 50)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-71.2066076782686,-83.95624954794172,-285.7184368837854,-152.6386794799166,-203.60164077806184,-159.42432287359483,79.2788483429059,13
0.028748846054077147,0.02602536308334812,0.0003607749938964844,2.8151732463640724e-05,tanh,0.001,"(50, 50)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2248.517802046092,-3416.930235890551,-3344.080430649543,-1633.044674373127,-3033.8533380415315,-2735.285296200169,689.3897586872647,25
0.06148662567138672,0.007488860028639973,0.0003901481628417969,2.3276101454047575e-05,tanh,0.001,"(50, 50)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-71.2066076782686,-83.95624954794172,-285.7184368837854,-152.6386794799166,-203.60164077806184,-159.42432287359483,79.2788483429059,13
