mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09819660186767579,0.012388962895376396,0.01081080436706543,0.00041371743301927736,0.8,0.01,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-326729446339.82275,-444115472124.3982,-5720975768064.38,-5487223634483.473,-186925192230492.28,-39780847310300.87,73609227144993.77,2
0.1160710334777832,0.04308872700583932,0.010769891738891601,0.00022711451002044474,0.8,0.01,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-315870365743.949,-592058830019.4586,-5570403930244.929,-7288512082412.325,-186925210999953.2,-40138411241674.766,73444096207136.66,6
0.19996490478515624,0.057373007700705726,0.010705041885375976,0.00031575785772691565,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-1584719011515.322,-1013538046261.7311,-12376025139184.182,-17222759143108.834,-186925222735360.5,-43824452815086.11,71821241421211.2,13
0.16382150650024413,0.024427435050061504,0.010814332962036132,0.0002778176869014722,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-565235052396.1622,-1682408875661.845,-15985355677257.793,-22871566839211.13,-186925231696310.53,-45605959628167.49,71166445229177.3,18
0.16751208305358886,0.10446320566968482,0.011029672622680665,0.0003999696155336477,0.8,0.01,6,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-326729446339.82275,-444115472124.3982,-5720975768064.38,-5487223634483.473,-186925186750400.4,-39780846214282.49,73609224954060.47,1
0.14622030258178711,0.11626805601176461,0.010947370529174804,0.0003782667939123926,0.8,0.01,6,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-315870365743.949,-592058830019.4586,-5570403930244.929,-7288512082412.325,-186925176265237.62,-40138404294731.66,73444082322840.97,4
0.3083349704742432,0.20066924750618936,0.010881948471069335,0.0002178700963029926,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-1584719011515.322,-1015895721353.1089,-12376030370080.312,-17221195866549.062,-186925201334541.22,-43824608460807.805,71821067178788.92,14
0.29164891242980956,0.22961429616443962,0.010811948776245117,0.00020204083880298596,0.8,0.01,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-565235052396.1622,-1682408875661.845,-15985355677257.793,-22871566839211.13,-186925194522988.72,-45605952193503.13,71166430465739.97,16
0.17986173629760743,0.17306716144706966,0.010746240615844727,0.00032866887944363646,0.8,0.01,10,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-326729446339.82275,-444115472124.3982,-5720975768064.38,-5487223634483.473,-186925192871412.28,-39780847438484.87,73609227401232.7,3
0.2249082088470459,0.22319012176104003,0.010971975326538087,0.0003805893753270744,0.8,0.01,10,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-315870365743.949,-592058830019.4586,-5570403930244.929,-7288512082412.325,-186925184912569.72,-40138406024198.08,73444085779386.2,5
