mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0134307861328125,0.007811777678512248,0.00036296844482421877,1.8096959610979235e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-21432.446994497004,-180895466249896.84,-11489.378799388356,-18813.274313373957,-18877.082461524402,-36179093264101.805,72358186492897.52,9
0.2794639110565186,0.019017919724840654,0.0004579067230224609,2.7564569945523017e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-3.252052640251773e+23,-180890021206724.97,-1.2508115094788995e+23,-646192.3208819965,-660074.9555553651,-9.005728303079144e+22,1.2716303467414868e+23,43
0.013108253479003906,0.007261824119048082,0.0003582954406738281,1.1605279958365679e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-21432.446994497004,-180895466249896.84,-11489.378799388356,-18813.274313373957,-18877.082461524402,-36179093264101.805,72358186492897.52,9
0.26790895462036135,0.0022242495020265707,0.00043921470642089845,2.7562012709576492e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-3.252052640251773e+23,-180890021206724.97,-1.2508115094788995e+23,-646192.3208819965,-660074.9555553651,-9.005728303079144e+22,1.2716303467414868e+23,43
0.019615840911865235,0.001992042541306671,0.0003603458404541016,5.782523040220567e-06,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-17241.798291780557,-180895383667117.94,-9302.196574461192,-11277.880879817192,-7942.723597799854,-36179076742576.51,72358153462270.72,5
0.3663660526275635,0.035082971761807705,0.0004333972930908203,4.704051131057732e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-1.3370331903696004e+23,-180887533989171.9,-4.22935517275545e+22,-7.661154001828455e+22,-5.316216561749001e+22,-6.115411531623532e+22,4.395847325781017e+22,39
0.01887660026550293,0.0017772622491162974,0.00036163330078125,9.670981731800504e-06,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-17241.798291780557,-180895383667117.94,-9302.196574461192,-11277.880879817192,-7942.723597799854,-36179076742576.51,72358153462270.72,5
0.38463602066040037,0.03346863770477716,0.00042834281921386717,2.388977956748532e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1.3370331903696004e+23,-180887533989171.9,-4.22935517275545e+22,-7.661154001828455e+22,-5.316216561749001e+22,-6.115411531623532e+22,4.395847325781017e+22,39
0.011780357360839844,0.0011911272295736873,0.0003642559051513672,6.892565251567003e-06,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-16222.72070562386,-180895091528335.06,-7455.7067908541085,-7994.8880088949245,-9802.93647105004,-36179018313962.266,72358036607186.4,1
0.005780553817749024,0.00037671084935259107,0.00038356781005859374,1.8387251370543655e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-1.187820972095173e+33,-180896453077833.66,-6.109697489887957e+32,-9.133781848236005e+32,-9.233920734516209e+32,-7.27112195871838e+32,4.068549124259561e+32,47
