mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011782407760620117,0.0017653073629585493,0.000403594970703125,7.512953414595043e-05,0.8,0.01,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-4478.292112528121,-3454.4104097902623,-5137.931784411562,-5531.353617120312,-3134.1654009728622,-4347.230664964624,928.7828456541387,43
0.010981082916259766,0.00013573142696107822,0.0003005027770996094,6.9765040647431905e-06,0.8,0.01,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-4469.12766963035,-3428.5782979775886,-5357.04209183444,-5768.597785580762,-3302.1063373753154,-4465.090436479692,992.1305248740117,45
0.022628021240234376,0.001616947592536689,0.000366973876953125,5.843199192341195e-05,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-4080.288734032355,-3205.407666974491,-4721.190315581071,-4966.1308533780575,-3134.763615071093,-4021.5562370074135,753.3469584046416,27
0.020757579803466798,0.000252007585486176,0.00031800270080566405,1.2830730141652804e-05,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-4032.209606020616,-3310.2598984210604,-5089.217423942153,-5318.739701782724,-3334.7668135776307,-4217.038688748837,849.6180429312791,33
0.024060583114624022,0.0014572719430279543,0.0004745960235595703,8.90420587721945e-05,0.8,0.01,6,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-4540.3428962175785,-3413.2448697736254,-4996.75023246031,-5320.158730767161,-3035.9601003677835,-4261.291365917292,890.0100187344508,36
0.022729110717773438,0.0005615817393157211,0.0003685474395751953,4.988600978905e-05,0.8,0.01,6,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-4441.601883239195,-3337.075670704447,-5073.540822931373,-5284.7819378294635,-3397.6810645363926,-4306.936275848174,816.0115353088637,40
0.043749237060546876,0.0005859034320059199,0.00040740966796875,4.051359581509739e-05,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-4166.381878896689,-3184.8974957783307,-4577.02949891301,-4738.266146489869,-3001.6751062356966,-3933.6500252627193,713.4025463164185,23
0.04425559043884277,0.0015035580442393577,0.0004523754119873047,5.84512893527429e-05,0.8,0.01,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-4134.782301625759,-3161.865896879124,-4632.96916666688,-4659.313850351236,-3580.2475887920737,-4033.835760863015,587.6134028441967,28
0.03553752899169922,0.0004762120536418442,0.0004433631896972656,2.122252149812742e-05,0.8,0.01,10,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-4540.004310538119,-3423.64254795697,-4994.6877818306575,-5410.838220793879,-3037.054279932707,-4281.245428210466,909.4427240734615,38
0.03717484474182129,0.000491063116231655,0.0003912925720214844,1.4671094578169048e-05,0.8,0.01,10,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-4538.184904593107,-3331.7673447987736,-5161.380560438943,-5366.6951973100695,-3358.9871654332924,-4351.403034514837,865.599841990873,44
0.06998257637023926,0.0011606670964727642,0.0005896568298339843,0.000127793372562996,0.8,0.01,10,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",-4176.773368538243,-3196.4991407769216,-4584.992369435771,-4799.015381574918,-3009.645009749281,-3953.385054015027,724.9058349408651,24
0.07398476600646972,0.0014427409401671894,0.0006075382232666015,5.506083904618011e-05,0.8,0.01,10,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-4287.511367962147,-3287.3744228497667,-4736.482513749084,-4850.7110389287445,-3582.4311950932,-4148.902107716588,619.6964229602495,29
0.011754655838012695,0.000903069248420108,0.00036864280700683595,6.161345017753572e-05,0.8,0.1,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-4065.947077904028,-3309.079593062894,-3586.480869119856,-3577.1473474379764,-3444.498609588043,-3596.6306994225597,255.5661537437126,9
0.010817241668701173,0.0002631790113542265,0.0003032207489013672,8.295322123711637e-06,0.8,0.1,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-3737.3730391139693,-3333.6751740817144,-3704.7571642405837,-4174.833873121454,-3338.824278812839,-3657.8927058741115,310.6970358062193,14
0.021900510787963866,0.0005993077624538289,0.00034198760986328127,5.478848572697125e-05,0.8,0.1,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-4282.057488382673,-3348.522178418844,-3252.489581610447,-3595.671556149014,-3213.7808147453316,-3538.504323861262,394.83728462786144,7
0.021511220932006837,0.0009639966188032966,0.00035986900329589846,5.7585387033688605e-05,0.8,0.1,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-3808.5873745020062,-3436.210298791799,-3441.569389667972,-4000.906804228282,-3327.9857883027844,-3603.0519310985683,256.9464702767215,10
0.022218942642211914,0.0005031065673577725,0.0003684520721435547,3.719959450273668e-05,0.8,0.1,6,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-3736.85689889714,-3175.3969107562207,-3630.1299049740387,-3714.458178894467,-3832.6133142354147,-3617.891041551456,230.44938150547915,12
0.02289419174194336,0.0011511630637771877,0.0003917694091796875,4.5902703710259866e-05,0.8,0.1,6,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-4051.405636085909,-3001.1510634403603,-4054.077633856366,-3896.433943216452,-4256.979288191435,-3852.0095129581046,440.57337399661503,20
0.04424428939819336,0.0006538653417142016,0.0005552291870117188,9.481920978956761e-05,0.8,0.1,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-3792.417537762563,-3093.3071968997,-3514.0849705332694,-3679.4244895968086,-3818.8265501464293,-3579.612148987754,265.80386908121915,8
0.045582818984985354,0.0020900780004897827,0.0005672454833984375,0.00012016688068000826,0.8,0.1,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-4041.9701991307597,-3035.314184889926,-3977.17434107285,-3814.5945358601602,-4202.741070913994,-3814.358866373538,408.91740136433305,18
0.03584322929382324,0.00035582349810490884,0.000408172607421875,1.2969620082828296e-05,0.8,0.1,10,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-4145.097414031048,-3193.7345208249553,-3695.84557756944,-3797.9226943906083,-3930.7502446743165,-3752.670090298074,317.3003435362567,15
0.04092917442321777,0.006897553161609454,0.00043201446533203125,3.3267039100058835e-05,0.8,0.1,10,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-4403.49365101151,-3887.0970519594307,-4729.18771438001,-4561.2384729116275,-4878.649585864768,-4491.93329522547,341.84523057815306,48
0.0697216510772705,0.001428730709811241,0.0005366802215576172,3.780058714607358e-05,0.8,0.1,10,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",-4085.0890800972793,-3199.8900378847757,-3686.516484043202,-3771.405478813248,-4028.736476006019,-3754.327511368905,315.2758790720692,16
0.07416491508483887,0.002374272759050071,0.0005886077880859375,4.4433803921375385e-05,0.8,0.1,10,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-4402.560360039139,-3904.954514028971,-4700.212760492587,-4519.412056168368,-4884.122614225322,-4482.252460990878,331.6657649664312,46
0.013791179656982422,0.0006923862492845695,0.0005095958709716797,5.1765631645152845e-05,1.0,0.01,3,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-4367.514693627431,-3403.914591777647,-5127.3488934209845,-5515.646311613256,-3130.636739298654,-4309.012245947595,931.3252677407022,41
0.012935018539428711,0.00265708442754177,0.0004108428955078125,4.9721655926178485e-05,1.0,0.01,3,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-4420.624079459832,-3482.7605545354236,-5313.795630120446,-5855.535138035596,-3369.1671268957425,-4488.376505809409,981.7253101586236,47
0.022443294525146484,0.00029863946145908406,0.00041060447692871095,3.239314541303437e-05,1.0,0.01,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-4061.8454231065007,-3164.4534728577687,-4631.146697722582,-4938.39387145939,-3147.6017359649736,-3988.6882402222427,735.7764726329465,26
0.021161270141601563,0.0003996918463098709,0.0003211498260498047,2.2765166778167008e-05,1.0,0.01,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-4082.2825186457767,-3406.0024231821612,-5061.32658787553,-5425.045694349182,-3516.2953514181186,-4298.190515094154,813.1611355511221,39
0.024107742309570312,0.0010389229846845735,0.00038738250732421874,4.8468192637273555e-05,1.0,0.01,6,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-4406.279035392079,-3368.8533390181024,-4843.915270502648,-5174.239138797311,-3124.080450678653,-4183.473446877759,806.6426506794702,32
0.02384214401245117,0.0006678075953773344,0.0004064083099365234,0.00014028858762290872,1.0,0.01,6,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-4259.647705647187,-3482.1171221333925,-4504.1140465652015,-5103.6577720539035,-3543.3525709006067,-4178.577843460058,609.4075318903494,30
0.04665017127990723,0.0015174008443402862,0.0005116462707519531,3.749407900629665e-05,1.0,0.01,6,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-4093.7762572406673,-3149.7688380528402,-4458.9774769104315,-4498.243062263202,-3141.997974922907,-3868.5527218780094,606.6908651002678,21
0.04710798263549805,0.002335881702625434,0.000505828857421875,0.0001375863692065708,1.0,0.01,6,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-4190.663291844304,-3363.1609554646943,-3993.6026771616716,-4577.067629612393,-3643.4259796785077,-3953.5841067523143,422.2173114939368,25
0.03738527297973633,0.0008420093559294236,0.0004715442657470703,3.746993549599314e-05,1.0,0.01,10,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-4400.580413252793,-3372.8087220611437,-4879.335407181999,-5155.602742560638,-3091.223465929442,-4179.910150197203,815.6615108854098,31
0.039784812927246095,0.0011734446630878538,0.0004943370819091797,6.113892912543226e-05,1.0,0.01,10,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-4423.537856810165,-3451.919035715813,-4662.264652058306,-5104.882243900452,-3949.167699367977,-4318.354297570542,571.8344044728009,42
0.07311949729919434,0.0006255417770216975,0.0006043434143066407,2.9545208957479553e-05,1.0,0.01,10,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",-4108.463579041523,-3158.1674701149377,-4451.040804556786,-4526.155290067561,-3114.098543102658,-3871.5851373766927,616.9429567816641,22
0.07708859443664551,0.0011255523202390962,0.0005749225616455078,8.306040679802961e-05,1.0,0.01,10,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-4336.247508266812,-3336.8686184160824,-4194.8071525829355,-4653.83567764575,-4719.127624892902,-4248.177316360897,495.4676932395506,34
0.01194624900817871,0.0005803398424413245,0.00035266876220703126,3.7227944596447306e-05,1.0,0.1,3,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-3614.571875232269,-3284.0030461566303,-3174.437582117,-3552.5085761900905,-3377.0598253131525,-3400.516181001828,163.8038903780474,2
0.011643171310424805,0.0005386063668296442,0.000335693359375,5.966945938891663e-05,1.0,0.1,3,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-3646.3693543164277,-3397.771691850067,-3644.9436705028043,-4191.235684504411,-3385.95855226911,-3653.255790688564,291.9790468249343,13
0.022046613693237304,0.0002006140347308688,0.00032153129577636717,2.813525112929676e-05,1.0,0.1,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-3908.2226704621903,-3316.430506091748,-3042.282969153052,-3330.0930559666285,-3387.425533838639,-3396.8909471024513,282.2170739751538,1
0.022049522399902342,0.0009368764241703345,0.0003705024719238281,5.0918751788625286e-05,1.0,0.1,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-3781.169002376185,-3318.6943347116517,-3539.2337256493483,-4007.768871024671,-3427.26142645565,-3614.825472043501,249.2640041017032,11
0.02338886260986328,0.0008602794524165347,0.0003682613372802734,7.770976998518128e-05,1.0,0.1,6,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-3892.383987602185,-2985.363577026293,-3401.7479244557585,-3541.6136756245496,-3811.865251774996,-3526.5948832967565,323.70496014189877,6
0.023121070861816407,0.0005576514524176732,0.00033893585205078123,1.861778916161072e-05,1.0,0.1,6,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-4283.81836752422,-3279.8757697218384,-3497.953315100042,-3834.512415308101,-4334.072851095807,-3846.0465437500015,417.53206431762925,19
0.045046758651733396,0.0010366404879001386,0.0004332542419433594,5.481126463794553e-05,1.0,0.1,6,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-3886.999061163283,-2940.1097193637866,-3305.8549176994593,-3484.196916052251,-3798.039673919666,-3483.0400576396887,343.0967499530472,5
0.04582424163818359,0.001499685250737631,0.00044422149658203126,5.894513522558576e-05,1.0,0.1,6,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-4281.5544705768925,-3223.517953933472,-3468.5519350049035,-3757.953980033941,-4311.53370308349,-3808.62240852654,432.9311596316293,17
