mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08075623512268067,0.0017249297954923435,0.0005378246307373047,2.9961693926819997e-05,0.8,0.01,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-20.894937610191633,-36.226466410016805,-30.33776538232773,-16.725913631120985,-17.05100028329482,-24.247216663390397,7.748425808287696,20
0.09148983955383301,0.018589393086186113,0.0006963729858398438,0.0002622770564275385,0.8,0.01,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-20.432699606654808,-35.73932401641374,-30.33365104096348,-16.596550623426012,-17.089061282526895,-24.038257313996986,7.6579019905611,10
0.1734248161315918,0.009863256792608976,0.0006160736083984375,4.7028570873500535e-05,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-20.941362172361245,-36.029431778415216,-29.22130749504243,-16.574399620228043,-16.994998889986537,-23.952299991206694,7.556755273623194,7
0.16150226593017578,0.009424612743910843,0.000550222396850586,2.4626411880117782e-05,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-20.0768718000793,-35.06181941576802,-29.62078180722451,-16.145584104453427,-16.784227229687485,-23.53785687144255,7.510516841884256,1
0.2674729824066162,0.012381128416278914,0.0005912303924560547,1.549640066540018e-05,0.8,0.01,6,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-20.98767972497377,-36.11074780456898,-29.718679707462154,-16.34566211514216,-17.023028280209648,-24.037159526471342,7.690353725337117,9
0.28229198455810545,0.04018910219589399,0.0005693912506103515,2.513542499210193e-05,0.8,0.01,6,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-19.054944549114555,-37.02185815435383,-29.87973488377625,-16.099995590635093,-16.868913229251575,-23.78508928142626,8.265895966234723,4
0.5031210899353027,0.027073642463931468,0.0005853176116943359,1.6972321862934098e-05,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-21.099469671398182,-35.62822640358441,-29.40065672347818,-16.37881987826403,-17.70361755051119,-24.042158045447195,7.355457163483466,11
0.5314226150512695,0.06849868213542873,0.0005781650543212891,1.936452079295995e-05,0.8,0.01,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-19.777174866553796,-37.4028548620409,-28.36281271787762,-15.746529526772829,-16.873916919262175,-23.63265777850146,8.182041783801965,2
0.44672198295593263,0.007160995838883694,0.000599527359008789,1.6805787237989335e-05,0.8,0.01,10,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-21.244648935236604,-36.19349584130447,-29.528406793358187,-16.711828554601297,-16.904058768462804,-24.11648777859267,7.61890490767536,14
0.5049790382385254,0.018618432131170384,0.0005896568298339843,1.7576737688539847e-05,0.8,0.01,10,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-20.09114940834248,-36.992529049385446,-29.531880025197694,-17.90391713178105,-17.037994310058558,-24.311493984953046,7.743813372103788,21
