mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0407071590423584,0.03665036569749141,0.0003926277160644531,1.977029193092337e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-218.67319003613807,-65.1788365304444,-142.3105192322318,-102.72476119767828,-212.56705560346006,-148.2908725199905,60.17432007681495,15
0.2719865798950195,0.00852847433107474,0.00039696693420410156,3.9498411032011616e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-142295.9129694901,-90847.23748155913,-96929.86944437124,-87102.2803315067,-100764.37739466263,-103587.93552431796,19923.413643677926,43
0.039108991622924805,0.035897206788532275,0.00033516883850097655,4.527191525046509e-06,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-218.67319003613807,-65.1788365304444,-142.3105192322318,-102.72476119767828,-212.56705560346006,-148.2908725199905,60.17432007681495,15
0.26865558624267577,0.0029150592403683457,0.0003932476043701172,4.453148496062842e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-142295.9129694901,-90847.23748155913,-96929.86944437124,-87102.2803315067,-100764.37739466263,-103587.93552431796,19923.413643677926,43
0.015806102752685548,0.00850819938968171,0.0003320217132568359,3.759461087117581e-06,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-268.4168725410637,-260.7057341818802,-195.59413616392015,-185.31236645310167,-82.6050263254743,-198.52682713308803,66.89083865339835,27
0.3400113105773926,0.008659262655798807,0.0004105567932128906,3.382755528268565e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-144046.38832281955,-160422.56755742995,-127281.38245047363,-146540.71926217768,-127046.97363148796,-141067.60624487774,12649.748942705872,47
0.016510152816772462,0.008751310900133008,0.00034313201904296876,5.819367252589836e-06,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-268.4168725410637,-260.7057341818802,-195.59413616392015,-185.31236645310167,-82.6050263254743,-198.52682713308803,66.89083865339835,27
0.33943982124328614,0.012281665567157542,0.00038504600524902344,4.439018453998228e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-144046.38832281955,-160422.56755742995,-127281.38245047363,-146540.71926217768,-127046.97363148796,-141067.60624487774,12649.748942705872,47
0.027026987075805663,0.02727870221208555,0.0003531932830810547,1.0981343383578923e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-64.57063144202003,-120.10928787666879,-254.3784442870632,-192.28797097158383,-296.6081004710208,-185.59088700967132,84.89421975279716,21
0.005310344696044922,1.789404103902126e-05,0.0003404140472412109,3.4166305766435345e-06,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-3377.453404629463,-3322.219899737638,-10332.432679997852,-3381.577224355017,-3448.5657237312885,-4772.449786490251,2780.2800902664517,40
