mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011027908325195313,0.0011009303278159848,0.0004134654998779297,8.862264569214058e-05,0.8,0.01,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-3212.358043709269,-12383.261339856352,-118295.65067961038,-294.17673790420037,-237.49913067885373,-26884.58918635181,45921.15556586146,1
0.010339975357055664,0.00024272430580779078,0.0003139972686767578,2.3766876570210514e-05,0.8,0.01,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-4503.880141712253,-12703.886998175005,-118574.09209750862,-284.03859544433743,-223.52328833720688,-27257.88422423548,45883.8934194054,7
0.020769214630126952,0.0005405183941825287,0.0003360271453857422,8.762134172115931e-06,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-10831.608234551852,-12472.368027306715,-118323.67370343376,-426.38769352331053,-193.29597397004585,-28449.466726557137,45225.51015633409,13
0.01999192237854004,0.0003208135948927115,0.00032639503479003906,5.073332244213251e-06,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-14833.575961599203,-12802.890112905474,-118588.51058613883,-395.33549656409986,-143.19589593367624,-29352.701610628254,45032.11109885254,19
0.014741039276123047,0.001326159171965335,0.00032138824462890625,2.8926374221998405e-06,0.8,0.01,6,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-3219.0356464858332,-12383.280387333225,-118297.06717251969,-293.8229014964551,-247.95982051784182,-26888.233185670608,45919.85697277233,2
0.015526056289672852,0.0009552036896998196,0.00031008720397949217,4.552733712112431e-06,0.8,0.01,6,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-4507.528979725592,-12705.623647469156,-118586.50186053151,-316.6488050846341,-235.09274686248585,-27270.279207934673,45883.164685892916,8
0.031201982498168947,0.0021354636589310284,0.0003440380096435547,2.5208410265797107e-05,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-10849.6942390567,-12488.910750855186,-118358.3062592319,-426.9256156855994,-208.8075181519876,-28466.528876596283,45234.692332386876,14
0.03262324333190918,0.002194510579192336,0.0003723621368408203,2.1794848939955373e-05,0.8,0.01,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-14850.027284644197,-12806.839188949843,-118587.24899545984,-436.89297900217633,-164.94018023499845,-29369.18972565821,45022.0959523368,21
0.015482759475708008,0.0015613304628842837,0.0003309726715087891,1.8187071798788486e-05,0.8,0.01,10,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-3219.0356464858332,-12383.327575466135,-118297.07059789593,-293.8229014964551,-247.95993818971985,-26888.243331906815,45919.855341730894,3
0.015876197814941408,0.0009832331974556148,0.0003123283386230469,5.9308268893188914e-06,0.8,0.01,10,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-4507.528979725592,-12705.623647469156,-118586.50186053151,-316.6488050846341,-235.09274686248585,-27270.279207934673,45883.164685892916,8
0.03235993385314941,0.0031419073023490726,0.00033702850341796873,1.5062017076415735e-05,0.8,0.01,10,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",-10849.333365325845,-12491.8469998188,-118357.51212640245,-426.9256156855994,-208.41228029050097,-28466.80607750464,45234.24678842124,15
0.03244462013244629,0.002311424129533663,0.00034880638122558594,8.626668184911823e-06,0.8,0.01,10,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-14850.026976039893,-12806.839188949843,-118587.24948535861,-436.89297900217633,-164.84974499729623,-29369.171674869565,45022.10789884708,20
0.011002254486083985,0.00022278214763266977,0.0003023624420166016,1.6128096127784504e-06,0.8,0.1,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-59591.27545159463,-12475.982372455901,-113039.87949688094,-1906.7877985001383,-518.2008033038455,-37506.42518454709,43485.697243889124,25
0.010568809509277344,0.00012549892014113826,0.00029439926147460936,4.949468637364401e-06,0.8,0.1,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-68930.72887209458,-13000.81819837903,-118342.51209874851,-875.2890182673751,-179.82121654762813,-40265.83388080743,46517.799609309724,28
0.021038007736206055,0.0004631747715668637,0.0003220081329345703,1.312697275351053e-05,0.8,0.1,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-75871.30532681513,-12797.55213876577,-111320.486615029,-2310.3418350259567,-422.287056268342,-40544.39459438084,44941.64971065115,31
0.020251989364624023,0.00028944133337242925,0.00031480789184570315,7.736820651739659e-06,0.8,0.1,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-80727.22427045621,-13010.926408697605,-118218.16841949221,-898.2427644347143,-262.9951792049818,-42623.51140845714,48122.26443441386,34
0.01823430061340332,0.0004038096931190586,0.0003113269805908203,7.485584050441896e-06,0.8,0.1,6,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-60174.37139147138,-12492.79938973224,-114845.43323913154,-2287.594849497963,-363.4861221796778,-38032.73699840256,44134.83508350929,27
0.018017053604125977,0.0006023637356196923,0.00031862258911132815,1.1324857410603873e-05,0.8,0.1,6,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-69108.55285705316,-12985.455273455389,-118282.64405180835,-1203.205345200553,-223.55311990196677,-40360.68212948389,46458.52425520155,29
0.037160205841064456,0.0007415392506888118,0.0003737926483154297,1.4054487070133632e-05,0.8,0.1,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-76480.82293294519,-12720.924752239353,-113090.86670360487,-2795.0800116328855,-414.7510180876299,-41100.489083701985,45524.533629475176,33
0.03682289123535156,0.0009324740593481411,0.00037436485290527345,1.1875447295024733e-05,0.8,0.1,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-81765.40139362283,-12993.884694466464,-118276.28653559183,-1282.75942952658,-250.94470073922395,-42913.85535078939,48243.995275717505,36
0.025237369537353515,0.0009959014131364588,0.0003546237945556641,1.8783752942524287e-05,0.8,0.1,10,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-60146.40618461099,-12499.52693539809,-114831.56576336276,-2327.1405836383997,-356.42383422703585,-38032.212660247445,44121.22724556208,26
0.02373042106628418,0.0013907633566592316,0.00035610198974609373,3.710761348408455e-06,0.8,0.1,10,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-69115.21004130018,-12985.10441058528,-118310.28873983644,-1204.1913200590725,-221.96512862076673,-40367.351928080345,46468.77113532588,30
0.05537877082824707,0.0011288704819189903,0.0004510402679443359,2.0957738995433385e-05,0.8,0.1,10,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",-76448.94576980281,-12672.53492298353,-113054.07753986333,-2889.150889284862,-407.31014417438894,-41094.40385322178,45499.4985757735,32
0.054337501525878906,0.0012808336655430548,0.0004485607147216797,2.924399956397228e-05,0.8,0.1,10,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-81762.47368363767,-12989.933140871255,-118256.2376826322,-1284.6092107936734,-253.20403856696979,-42909.29155130036,48237.03150621973,35
0.011068630218505859,0.00018447833183434566,0.00032300949096679686,5.510306762666595e-06,1.0,0.01,3,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-4318.520560437543,-12087.697131589493,-118365.74378970586,-349.9153537312814,-205.04105150486237,-27065.38357739381,45853.46417948493,4
0.01065673828125,0.00018317267307177868,0.00030841827392578123,1.1846884607528235e-05,1.0,0.01,3,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-7336.586257882622,-12705.417121815623,-118748.35628240663,-306.95677383675815,-187.23826921269446,-27856.91094103086,45687.01585063287,10
0.02125973701477051,0.0004912183619326441,0.0003185272216796875,4.654966301676094e-06,1.0,0.01,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-13496.720439560122,-12044.95462078437,-118344.9000847027,-761.1101030444099,-127.93425970343745,-28955.123901559004,45036.33516504036,16
0.0203763484954834,0.0003768457244720626,0.00031523704528808595,3.3392222213767236e-06,1.0,0.01,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-21520.56295816315,-12807.936575178297,-118871.03756623741,-539.8356325430859,-78.62757361537788,-30763.600061147463,44779.02098665895,22
0.0157773494720459,0.0013725235983614904,0.0003052234649658203,9.89066479680189e-06,1.0,0.01,6,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-4332.512777930613,-12097.66869937778,-118385.51315449149,-362.27514595874106,-217.70098384333778,-27079.13415232039,45856.37378726329,6
0.016728639602661133,0.0010170891762128127,0.0002934455871582031,6.762687415417904e-06,1.0,0.01,6,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-7336.78774205585,-12706.068281247102,-118747.02535770669,-373.6863342031331,-205.14526702218672,-27873.742596446995,45676.21427227866,11
0.06067943572998047,0.015122128631626737,0.0007002830505371093,0.0002230264497640627,1.0,0.01,6,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-13511.539581048286,-12068.431240235404,-118520.18827101591,-785.0104808211797,-155.08607967583058,-29008.051130559325,45096.67150340249,17
0.03860931396484375,0.004276792274801965,0.0006459712982177735,9.130735594916402e-05,1.0,0.01,6,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-21521.91055389259,-12806.327906901217,-118869.41881850174,-615.4739137741925,-112.37194385194383,-30785.100627384334,44763.62972547827,23
0.01645174026489258,0.0029797579487096703,0.0005712032318115235,8.318743681848438e-05,1.0,0.01,10,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-4332.512777930613,-12097.57156996589,-118385.51249839467,-362.27514595874106,-217.70150924420585,-27079.114700298825,45856.37981096577,5
0.023806047439575196,0.011486437065472643,0.0005583286285400391,2.57224367648028e-05,1.0,0.01,10,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-7336.78774205585,-12706.068281247102,-118747.02535770669,-373.6863342031331,-205.14526702218672,-27873.742596446995,45676.21427227866,11
0.049017477035522464,0.004157731198748487,0.0005784511566162109,2.0129871384447583e-05,1.0,0.01,10,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",-13511.127951685976,-12067.980254372698,-118520.15920511362,-785.0104808211797,-157.28067635947215,-29008.311713670595,45096.441323525745,18
0.034995651245117186,0.0028983887157921426,0.00042333602905273435,2.7919456953440457e-05,1.0,0.01,10,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-21521.924195190168,-12806.327906901217,-118869.41868616242,-615.4739137741925,-112.79418784235237,-30785.187777974068,44763.571243479884,24
0.011237049102783203,0.0002458749946711038,0.0003306865692138672,1.2195290939843055e-05,1.0,0.1,3,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-82430.9330189009,-12398.966688656184,-118081.24789721536,-2132.124287045848,-256.33734388953275,-43059.921847141566,48219.50127007982,37
0.010827732086181641,0.00016018566319075305,0.00030922889709472656,9.037290756593425e-06,1.0,0.1,3,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-112904.8266323652,-12970.893553593984,-119066.56636640713,-5645.468277354446,-4.323560257330003,-50118.41567799562,53972.55703253487,43
0.021385383605957032,0.0002881126267058914,0.00033779144287109374,1.0011763634964342e-05,1.0,0.1,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-103319.756229572,-12755.444030862984,-117886.84099990498,-2840.6113609053473,-184.34379834490045,-47397.39928391804,51981.759150385544,40
0.02075510025024414,0.0006173172303399269,0.00032372474670410155,6.201450109810468e-06,1.0,0.1,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-128867.10027332547,-12921.653776806164,-118837.32632436955,-6657.94944713055,-27.953891639011164,-53462.39674265415,57704.7633077608,46
0.019411039352416993,0.00040032765287440175,0.00035457611083984376,1.0210774952849544e-05,1.0,0.1,6,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-82214.34174294134,-12479.873050262047,-118482.87675525674,-2906.9564098681635,-386.3499380014448,-43294.07957926595,48145.30160366963,38
0.01844935417175293,0.0006708649991062591,0.000324249267578125,1.7545404503247906e-05,1.0,0.1,6,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-112915.0908732934,-13042.970316707866,-119254.36744414177,-5740.361862181015,-39.687311417012786,-50198.49556154821,53990.83167036159,44
0.03881216049194336,0.0007046383884086181,0.00040602684020996094,2.641522922861338e-05,1.0,0.1,6,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-105447.46686584703,-12833.817459627688,-118449.9130795975,-3699.116336966617,-645.8214533146761,-48215.2270390707,52354.210914602576,41
0.038964271545410156,0.000999300534584965,0.00041570663452148435,2.1725467035384707e-05,1.0,0.1,6,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-130676.08527814905,-13048.640895028688,-119241.69742297438,-6985.781493208528,-40.927848585730295,-53998.62658758927,58197.30775314577,48
0.026719331741333008,0.0012331471910214838,0.0003682613372802734,2.680893681459671e-05,1.0,0.1,10,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-82381.48963614393,-12476.409470708404,-118483.10952388092,-2895.1053671093073,-395.1848927167951,-43326.25977811187,48173.294977160855,39
0.025078582763671874,0.0016417763267828536,0.00038475990295410155,2.044147006232784e-05,1.0,0.1,10,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-112917.87884677628,-13042.254052296825,-119254.19469065689,-5740.624507437662,-40.40841038425078,-50199.07210151038,53991.356546485906,45
0.06340107917785645,0.005438894609816948,0.0005660057067871094,4.9651320236808957e-05,1.0,0.1,10,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",-105714.59709505434,-12826.622082962556,-118513.01957629232,-3718.1473116367574,-675.8992360236382,-48289.657060393925,52421.86689974993,42
0.058000040054321286,0.002306013729290383,0.0005261421203613282,2.5504503634750784e-05,1.0,0.1,10,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-130683.94077137466,-13045.760351970494,-119305.37314695417,-6530.581866740027,-41.980130659713254,-53921.5272535398,58287.65058828424,47
