mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013466548919677735,0.010769308485074078,0.0003543853759765625,2.9995899945108164e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-2783.9263544174455,-11.50857746192039,-953.6432811112609,-12452.316310273476,-118607.6521125553,-26961.80932716388,46036.50578415813,33
0.26865177154541015,0.009306512111448109,0.0005186557769775391,8.671367302408665e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-1741.8971992618233,-387945.5030019376,-1074.317396472269,-108162.32573941821,-127112.11910717582,-125207.23248885313,141405.95875622483,39
0.012962150573730468,0.009888895109030942,0.0003726959228515625,1.5808716001835002e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2783.9263544174455,-11.50857746192039,-953.6432811112609,-12452.316310273476,-118607.6521125553,-26961.80932716388,46036.50578415813,33
0.37154760360717776,0.129745249377146,0.0010587215423583985,0.000984360489617553,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1741.8971992618233,-387945.5030019376,-1074.317396472269,-108162.32573941821,-127112.11910717582,-125207.23248885313,141405.95875622483,39
0.015569162368774415,0.01965709319069521,0.0005680561065673828,0.00028494831053797623,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-11.68977692998372,-1703.8768697117498,-54.47294996131693,-12512.654922768383,-119080.61300795719,-26672.661505465723,46438.15428929465,27
0.408975887298584,0.04578541983842338,0.0006440162658691406,0.00012427636987968205,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-326671.0861976227,-1622.0090951457992,-265997.89389741624,-79243.93837253265,-105430.32354455818,-155793.0502214551,121251.21973314436,43
0.01320199966430664,0.01614704976614525,0.0003719806671142578,1.076575391323957e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-11.68977692998372,-1703.8768697117498,-54.47294996131693,-12512.654922768383,-119080.61300795719,-26672.661505465723,46438.15428929465,27
0.3412628173828125,0.01111778352369436,0.0005162239074707031,1.8479147186157255e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-326671.0861976227,-1622.0090951457992,-265997.89389741624,-79243.93837253265,-105430.32354455818,-155793.0502214551,121251.21973314436,43
0.005629634857177735,0.0005223007597568244,0.00036940574645996096,5.809982431668983e-06,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-12.84878058965688,-15.263336110875203,-55.46779300540747,-12535.422481308415,-117162.0448619953,-25956.209450601928,45859.48321241346,1
0.17414393424987792,0.20593306818504736,0.0004059314727783203,6.782857309944259e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-3027420.7623462374,-2968874.3055144898,-2767618.6507627065,-783192.0056198386,-119169.41708520678,-1933255.0282656956,1231212.4232918601,47
0.005561208724975586,0.0005407721179262566,0.0003475666046142578,9.036535940208635e-06,relu,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-12.84878058965688,-15.263336110875203,-55.46779300540747,-12535.422481308415,-117162.0448619953,-25956.209450601928,45859.48321241346,1
0.18673920631408691,0.1901659665636675,0.00040183067321777346,5.058062377175898e-05,relu,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-3027420.7623462374,-2968874.3055144898,-2767618.6507627065,-783192.0056198386,-119169.41708520678,-1933255.0282656956,1231212.4232918601,47
0.013073539733886719,0.009899663041484078,0.00038089752197265623,1.971858583743909e-05,relu,0.001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-2783.9323091458855,-11.508576917368766,-953.6421073468514,-12452.316308458154,-118607.65232410394,-26961.81032519444,46036.505375714085,35
0.2631812572479248,0.0027562090354051934,0.0004964828491210938,5.0764819313123914e-05,relu,0.001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-1741.8968697382647,-387945.49948646536,-1074.317168271588,-108162.32360921128,-127112.1127981063,-125207.22998635855,141405.95758181033,37
0.012757682800292968,0.009743096153673917,0.00035533905029296877,4.4797322012169055e-06,relu,0.001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2783.9323091458855,-11.508576917368766,-953.6421073468514,-12452.316308458154,-118607.65232410394,-26961.81032519444,46036.505375714085,35
0.2702033996582031,0.008655744633023633,0.0004899978637695312,9.084217179557446e-06,relu,0.001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1741.8968697382647,-387945.49948646536,-1074.317168271588,-108162.32360921128,-127112.1127981063,-125207.22998635855,141405.95758181033,37
0.028880500793457033,0.04687390689773236,0.0004225254058837891,4.337577719346513e-05,relu,0.001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-11.689777465731348,-1670.5233376085173,-54.472950208706415,-12512.65492246589,-119080.61300764888,-26665.990799079544,46441.74276053358,25
0.34489831924438474,0.022799807276698197,0.0004955291748046875,1.5982654016572263e-05,relu,0.001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-326671.0816044215,-1622.0087334852697,-265997.8937034351,-79243.9382031153,-105430.32481310696,-155793.0494115128,121251.21841123418,41
0.014047050476074218,0.017596709517037065,0.0003919124603271484,2.113868117759614e-05,relu,0.001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-11.689777465731348,-1670.5233376085173,-54.472950208706415,-12512.65492246589,-119080.61300764888,-26665.990799079544,46441.74276053358,25
0.3320747375488281,0.006792825360682933,0.0004971981048583985,4.198404279236994e-05,relu,0.001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-326671.0816044215,-1622.0087334852697,-265997.8937034351,-79243.9382031153,-105430.32481310696,-155793.0494115128,121251.21841123418,41
0.005649757385253906,0.0005521252628911739,0.0003625392913818359,1.1454617110635846e-05,relu,0.001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-12.848717519896068,-15.264085546407124,-55.46443800248838,-12535.428739940133,-117162.04478266105,-25956.210152733995,45859.48311586092,3
0.17052764892578126,0.20135915914163913,0.00041561126708984376,5.0126767748405954e-05,relu,0.001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-3027420.614072315,-2968874.1793787666,-2767618.549442563,-783191.9687977454,-119169.4171531046,-1933254.945768899,1231212.3688450218,45
0.006146049499511719,0.0005522028269881104,0.0004252910614013672,6.0115796840841205e-05,relu,0.001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-12.848717519896068,-15.264085546407124,-55.46443800248838,-12535.428739940133,-117162.04478266105,-25956.210152733995,45859.48311586092,3
0.1865307331085205,0.18915869084767883,0.0004165172576904297,5.8572996457649664e-05,relu,0.001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-3027420.614072315,-2968874.1793787666,-2767618.549442563,-783191.9687977454,-119169.4171531046,-1933254.945768899,1231212.3688450218,45
