mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08148179054260254,0.0016507602405303181,0.0005468845367431641,3.1313137746972394e-05,0.8,0.01,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-169.3179244125262,-173.61881729341113,-166.06799154467882,-97.33323536160557,-131.0379180272265,-147.47517732788964,29.29397920671647,10
0.07892289161682128,0.0005065007210493845,0.0004968643188476562,1.3685309512853198e-05,0.8,0.01,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-166.88987247032733,-178.2272577401794,-158.8229576825242,-97.7458006043996,-133.5348696952841,-147.04415163854293,28.697759935607685,9
0.15327186584472657,0.0007987097327037485,0.0005150318145751953,1.4479213504388893e-05,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-157.69301669641087,-185.5113157198609,-149.93003356950356,-99.33815048185643,-125.5336665221878,-143.60123659796392,29.260022386931453,2
0.15328669548034668,0.0009302443667913453,0.0005125522613525391,1.699066547518799e-05,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-155.41761747473694,-189.93943985855827,-158.0373349399849,-104.47053074440919,-134.77958499006152,-148.52890160155016,28.223682040217263,16
0.298140287399292,0.007582986890720289,0.00053863525390625,5.744651012361909e-06,0.8,0.01,6,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-167.18097816832207,-173.01554006296985,-171.05912853699797,-96.12550902989072,-130.26375706996768,-147.52898257362966,30.099297056984035,11
0.32820796966552734,0.015215228406126477,0.0005379676818847656,1.4251449376341392e-05,0.8,0.01,6,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-163.039005046268,-179.25394050005514,-175.19702326184293,-101.04778248340202,-122.86289498396218,-148.28012925510603,30.914886253011833,15
0.5902642250061035,0.012007508633842683,0.0005851268768310546,1.8372406378656437e-05,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-158.15299716809145,-181.21240717701147,-155.95392744595495,-98.9578656570986,-127.73566148526346,-144.40257178668398,28.35658375545124,3
0.6414320468902588,0.027978944036036887,0.0005572795867919922,6.6391762080415495e-06,0.8,0.01,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-145.97408498088674,-187.24922979875313,-159.55486806851502,-106.65953769504559,-128.64365453612214,-145.61627501586455,27.325491969387013,7
0.4205649375915527,0.010895686695634196,0.0005721092224121094,1.1457594217544294e-05,0.8,0.01,10,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-168.36387177681706,-171.90994209985558,-172.54252514441808,-97.22151468898325,-129.1160773049264,-147.83078620300006,30.078637222170396,13
0.5106007575988769,0.013496515861400087,0.0005582809448242187,8.047960312200793e-06,0.8,0.01,10,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-163.58483082926833,-179.93070703239647,-178.3876753393328,-105.96151032610797,-120.02934428233809,-149.57881356188872,30.73433503466838,18
0.8338414669036865,0.014692150067406764,0.0006239891052246093,2.063245235331556e-05,0.8,0.01,10,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",-157.50895344086456,-180.21617090969812,-159.29675025957016,-99.81323457514712,-126.33524056239209,-144.63406994953442,28.251007656813197,4
1.0263148307800294,0.029379938322312924,0.0006051540374755859,2.2501156815960875e-05,0.8,0.01,10,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-147.28108175276623,-195.9758210735318,-172.03386818027744,-108.8144284140862,-127.17774270924274,-150.25658842598085,31.059418968836525,19
0.08000645637512208,0.0005896072198702903,0.0005031108856201171,1.1287451674220388e-05,0.8,0.1,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-152.50700760503145,-226.0201093435132,-139.26253565909187,-130.31605956846226,-123.8335855958052,-154.38785955438078,37.085057499060696,26
0.08168668746948242,0.0009183144663453616,0.0004983425140380859,8.545102815755908e-06,0.8,0.1,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-159.22713224237475,-227.3132836744888,-160.0423165950769,-112.70569694261067,-125.11304652047498,-156.8802951950052,39.84185012953687,29
0.156007719039917,0.000938323843167816,0.0005131721496582031,1.0775464774284257e-05,0.8,0.1,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-155.9881504835949,-234.4467552392045,-140.7166114861844,-127.70814713337458,-123.37145793053787,-156.44622445457927,40.62395999240115,28
0.16442160606384276,0.0015767335255416795,0.0005492210388183594,4.081586808654202e-05,0.8,0.1,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-166.13593981996334,-225.17912376138847,-164.26816741817942,-122.03023966328861,-126.30033714125554,-160.7827615608151,37.09040734044615,30
0.26682276725769044,0.008197001258492459,0.0005671977996826172,1.66189892460671e-05,0.8,0.1,6,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-163.62584673007174,-227.68102566055023,-162.89564238721505,-148.85833487163762,-125.08311654509356,-165.62879323891366,34.0210570947246,37
0.2886832237243652,0.012963769995469358,0.0005435466766357422,1.945904613958845e-05,0.8,0.1,6,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-161.9955026568379,-221.5150755293124,-172.95362611398255,-148.58631206703527,-139.32623830625477,-168.8753509346846,28.704356468881684,41
0.4959847927093506,0.022449848474366083,0.0005645275115966797,1.6973929394843642e-05,0.8,0.1,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-165.17779949017955,-229.88421590621584,-161.55471564635323,-151.05035771538968,-123.9707531067077,-166.3275683729692,34.90284373020458,38
0.5275891304016114,0.017263301050826286,0.000555419921875,1.0327240493152197e-05,0.8,0.1,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-164.319119634456,-221.96295853279688,-174.42444980260916,-150.80236322793644,-139.79189111435164,-170.26015646243002,28.399781373873825,43
0.4457093715667725,0.005488346823384455,0.000559234619140625,5.987297693482425e-06,0.8,0.1,10,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-151.17339946452995,-205.65156219170117,-164.0715835170898,-137.10367201737438,-112.54613418823574,-154.10927027578623,30.92299963471323,24
0.5263522148132325,0.008061713861418327,0.0005776405334472657,2.1939380768216674e-05,0.8,0.1,10,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-164.0218449369228,-218.88578776932943,-173.8497502450288,-141.17863943369593,-138.52022583604946,-167.29124964420527,29.070051684134853,39
