mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.021283388137817383,0.0014133231277754336,0.0002627372741699219,4.456297727883141e-05,squared_error,,1,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-255.38709677419354,-394.64516129032256,-191.73333333333332,-385.03333333333336,-279.8333333333333,-301.3264516129032,77.84375845735202,98
0.006770801544189453,0.00013079560676283465,0.00023255348205566406,2.8234236417937203e-06,squared_error,,1,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-336.16129032258067,-313.258064516129,-299.1666666666667,-229.0,-221.8,-279.87720430107527,46.07757611517545,76
0.018803787231445313,0.0013241063117427302,0.00023751258850097657,1.616006686847458e-05,squared_error,,1,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",-241.3926971326165,-267.619623655914,-224.09189814814812,-354.7726851851852,-264.81203703703704,-270.53778823178016,45.041036437511266,53
0.005131196975708008,0.0003772090375997661,0.0002322673797607422,1.5569591206484755e-05,squared_error,,1,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",-254.87231182795696,-222.83064516129033,-255.8490740740741,-185.3652777777778,-259.54606481481477,-235.6926747311828,28.430271968021565,6
0.016640758514404295,0.0012253936193635452,0.0002346038818359375,3.5331027131734284e-06,squared_error,,1,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",-233.80701507753645,-329.93999327957,-204.16962570336773,-376.7102037771899,-286.1494436413455,-286.1552562958019,62.576806761237705,87
0.003676605224609375,0.0003611489968325035,0.00022406578063964843,1.0446325755605402e-05,squared_error,,1,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",-264.837571186778,-251.65038536561576,-244.67343211976146,-194.65075925925925,-285.90591753275385,-248.34361309283366,30.299521093491784,19
0.01811556816101074,0.0010716723959111973,0.0003811836242675781,0.0002886636599762825,squared_error,,2,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-238.15591397849462,-256.0573476702509,-286.5074074074074,-368.67962962962963,-255.47592592592596,-280.97524492234174,46.534451525446286,78
0.005012941360473633,0.0002579896763389206,0.00022516250610351562,8.50135262628164e-06,squared_error,,2,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-329.0940860215054,-199.55913978494615,-276.387962962963,-226.91296296296295,-298.4435185185185,-266.0795340501792,47.081860841296006,44
0.017710781097412108,0.0010608676010564891,0.00031909942626953127,0.00017310874110798425,squared_error,,2,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",-252.85304659498212,-270.9789426523298,-220.4247685185185,-367.8912037037037,-261.62824074074075,-274.75524044205497,49.583046444483635,59
0.004582691192626953,0.00020481315531115644,0.0003261566162109375,0.00012058654559602948,squared_error,,2,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",-307.4952956989248,-244.69802867383513,-221.74861111111107,-229.54097222222225,-233.71967592592597,-247.44051672640384,30.92839115774105,11
0.015830087661743163,0.0008927661472251213,0.00038037300109863283,0.00010702764835457332,squared_error,,2,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",-231.7753821958892,-329.93999327957,-205.71118948937598,-373.6155535714286,-282.6280894746788,-284.73404160218854,61.639544179877156,81
0.0033718109130859374,0.0001569971118554841,0.0003120899200439453,0.00010194316760779507,squared_error,,2,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",-268.65823293833654,-255.95429510155316,-201.25061651234572,-228.90247401738472,-241.01422593852354,-239.15596890162874,23.229164267027777,9
0.015514564514160157,0.0009987610041680302,0.0003810405731201172,0.00012050509942808238,squared_error,,4,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",-259.68306122448985,-276.2408068173505,-198.99617894935753,-315.90075850340145,-285.3867634164777,-267.2415137822154,38.7105034526147,46
0.003196382522583008,0.00012041404393161646,0.00023512840270996095,1.6307830810546876e-05,squared_error,,4,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",-216.74336368956185,-253.70601016750783,-258.14022959183666,-201.79681046863203,-307.75441912320485,-247.6281666081486,36.92423093015351,13
