mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01762380599975586,0.011250589550329024,0.00039958953857421875,1.6637449097881283e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-133.5464647581901,-142.917192020752,-165.66155363473848,-62.71179093068647,-111.02903915104744,-123.1732080990829,34.94496434859076,17
0.2727311611175537,0.003219215441029365,0.0004974365234375,2.4441148961229008e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-8591.4039594469,-6395.046123341409,-9635.580502192277,-8886.933577377187,-6608.836234895759,-8023.560079450707,1289.9590360861803,39
0.019822072982788087,0.012542313567522943,0.0005373477935791016,0.00022924351924179484,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-133.5464647581901,-142.917192020752,-165.66155363473848,-62.71179093068647,-111.02903915104744,-123.1732080990829,34.94496434859076,17
0.29219636917114256,0.032234686955129266,0.0005086421966552735,4.530871448769311e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-8591.4039594469,-6395.046123341409,-9635.580502192277,-8886.933577377187,-6608.836234895759,-8023.560079450707,1289.9590360861803,39
0.016599321365356447,0.002038909568791374,0.00040435791015625,8.305731342240526e-06,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-96.18410831484405,-87.75934723187942,-114.43301199044255,-76.25355819908464,-124.30452458914611,-99.78691006507935,17.476171329931766,9
0.4484726905822754,0.02883753037384677,0.0005953311920166016,0.00015456917547723018,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-8210.651616547806,-6884.387581272728,-9685.235764250094,-8934.528148376992,-8051.381754882156,-8353.236973065954,936.0647309476008,43
0.016408920288085938,0.002220323009696217,0.00039782524108886717,1.0866866709323206e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-96.18410831484405,-87.75934723187942,-114.43301199044255,-76.25355819908464,-124.30452458914611,-99.78691006507935,17.476171329931766,9
0.434307336807251,0.01730461473426878,0.0004898548126220703,6.231077661102155e-06,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-8210.651616547806,-6884.387581272728,-9685.235764250094,-8934.528148376992,-8051.381754882156,-8353.236973065954,936.0647309476008,43
0.01581101417541504,0.009691306745359151,0.00039157867431640627,1.9120872761610527e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-62.97026069644468,-134.83411987875985,-201.240432915618,-60.372395275706594,-130.12563451498318,-117.90856865630246,52.36135886717708,15
0.007752466201782227,0.0012377744555352658,0.0004565715789794922,7.670159509763027e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-221385.54285893458,-80.15039131308812,-3969.248874933985,-71135.1986568264,-7446.090113228232,-60803.24617904726,84448.57247346803,47
0.01902298927307129,0.010804057521951384,0.0004824161529541016,9.567361793866587e-05,relu,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-62.97026069644468,-134.83411987875985,-201.240432915618,-60.372395275706594,-130.12563451498318,-117.90856865630246,52.36135886717708,15
0.03426227569580078,0.002730050130745809,0.00041208267211914065,1.0100171940336485e-05,relu,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-221385.54285893458,-80.15039131308812,-3969.248874933985,-71135.1986568264,-7446.090113228232,-60803.24617904726,84448.57247346803,47
0.017150402069091797,0.011999783302413915,0.0003939151763916016,2.4174938530196043e-05,relu,0.001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-133.54644824752376,-142.9172591093094,-165.66153213524157,-62.711870741158734,-111.02906343268685,-123.17323473318409,34.9449364161871,19
0.2920886993408203,0.03102076158829354,0.0004948616027832031,1.5849080152572422e-05,relu,0.001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-8591.40186071356,-6395.044583936479,-9635.578030981602,-8886.931498686492,-6608.834477275686,-8023.558090318763,1289.958729628083,37
0.017038345336914062,0.011951545873547813,0.00038361549377441406,1.4694013821992042e-05,relu,0.001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-133.54644824752376,-142.9172591093094,-165.66153213524157,-62.711870741158734,-111.02906343268685,-123.17323473318409,34.9449364161871,19
0.282606840133667,0.01855616035331611,0.0005187511444091797,6.284279583998016e-05,relu,0.001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-8591.40186071356,-6395.044583936479,-9635.578030981602,-8886.931498686492,-6608.834477275686,-8023.558090318763,1289.958729628083,37
0.015485334396362304,0.0018304863397868272,0.0003882408142089844,1.0269837052801648e-05,relu,0.001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-96.18409464555384,-87.7593057784794,-114.43298490708887,-76.25359221918222,-124.32784616672174,-99.79156474340523,17.482708813857855,11
0.41573138236999513,0.012367476114884543,0.0004830360412597656,6.852201396560628e-06,relu,0.001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-8210.649504339724,-6884.386058850771,-9685.233356778817,-8934.526000711177,-8051.379767369919,-8353.234937610081,936.0644493755019,41
0.01593489646911621,0.0023956594780442366,0.00038461685180664064,1.3059942147535956e-05,relu,0.001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-96.18409464555384,-87.7593057784794,-114.43298490708887,-76.25359221918222,-124.32784616672174,-99.79156474340523,17.482708813857855,11
0.4217792510986328,0.005449044197125095,0.0004979133605957031,3.19643121781885e-05,relu,0.001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-8210.649504339724,-6884.386058850771,-9685.233356778817,-8934.526000711177,-8051.379767369919,-8353.234937610081,936.0644493755019,41
0.015235805511474609,0.009856623199051092,0.00038137435913085935,1.9858764944207086e-05,relu,0.001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-63.00515340139246,-134.6633874189216,-201.2477555157778,-60.297929022274786,-130.03738894858014,-117.85032286138934,52.357628179055034,13
