mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_kwargs,param_model_kwargs,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
310.9914313554764,1.816329836845398,0.30758655071258545,0.005541205406188965,"{'epochs': 300, 'verbose': 0}","{'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}}",-548.9626711101816,-549.2140582265275,-549.0883646683546,0.1256935581729408,13
326.57853281497955,0.023800253868103027,0.32003915309906006,0.013124823570251465,"{'epochs': 300, 'verbose': 0}","{'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}}",-409.42366810384834,-434.6840389874522,-422.05385354565027,12.630185441801927,6
349.2126564979553,11.334324836730957,0.310573935508728,0.008859515190124512,"{'epochs': 300, 'verbose': 0}","{'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}}",-570.1774653939132,-481.44261314536493,-525.810039269639,44.36742612427412,12
806.5644401311874,2.6404274702072144,0.6353027820587158,0.003525257110595703,"{'epochs': 300, 'verbose': 0}","{'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}}",-726.9117168377938,-559.9369865076798,-643.4243516727367,83.48736516505704,17
814.1045336723328,10.224673986434937,0.6133432388305664,0.028774261474609375,"{'epochs': 300, 'verbose': 0}","{'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}}",-503.4571580229315,-406.78284615175056,-455.12000208734105,48.33715593559046,10
787.2141015529633,0.6915340423583984,0.6127783060073853,0.04647409915924072,"{'epochs': 300, 'verbose': 0}","{'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}}",-329.08364247918365,-480.61505792105544,-404.84935020011955,75.7657077209359,4
974.0682626962662,5.3867493867874146,0.8289362192153931,0.010058999061584473,"{'epochs': 300, 'verbose': 0}","{'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}}",-777.9680762398168,-576.1327076548042,-677.0503919473106,100.9176842925063,20
918.0304754972458,14.462162852287292,0.7748900651931763,0.05472695827484131,"{'epochs': 300, 'verbose': 0}","{'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}}",-413.6547856174043,-440.5610536345212,-427.1079196259627,13.453134008558465,7
905.1245293617249,4.537774085998535,0.7158403396606445,0.006269931793212891,"{'epochs': 300, 'verbose': 0}","{'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': None, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}}",-473.6899894708025,-425.2113540417653,-449.4506717562839,24.23931771451862,9
19.907052040100098,0.08536577224731445,0.0168226957321167,6.99758529663086e-05,"{'epochs': 300, 'verbose': 0}","{'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'mse', 'metrics': ['mae', 'mape']}}}",-599.6454229066575,-2516.6195454545455,-1558.1324841806015,958.4870612739439,36
