mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01638164520263672,0.003001489195502396,0.0016216278076171876,5.202260616069845e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-0.18736663174115828,-0.12018756988428553,-0.14839183858219662,-0.24418443073391913,-0.10961661479443896,-0.1619494171471997,0.04914308554165803,27
0.024086618423461915,0.004567240026340323,0.0015765190124511718,2.2619679195401674e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-0.20898614313543692,-0.12100997490658179,-0.12878089698986583,-0.25097978289102474,-0.12403080569826962,-0.1667575207242358,0.053361559330194826,40
0.015574073791503907,0.003426427718834147,0.0016134262084960937,4.680063792825555e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-0.18736663174115828,-0.12018756988428553,-0.14839183858219662,-0.24418443073391913,-0.10961661479443896,-0.1619494171471997,0.04914308554165803,27
0.06794967651367187,0.005179912966407951,0.0015715599060058595,1.0501898638365073e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-0.20898614313543692,-0.11934858700630396,-0.1279452454177256,-0.23054936803792214,-0.12403080569826962,-0.16217202985913165,0.04759641707044853,30
0.0835195541381836,0.10750631603224167,0.0016071796417236328,6.170206497048116e-05,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-0.15812582927745267,-0.18761259054709647,-0.1806457622038135,-0.25660076196859705,-0.11898545747473177,-0.1803940802943383,0.045003383263497565,47
0.03127374649047852,0.015636008816676292,0.0016065597534179687,2.9223388407536898e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-0.14172415379845554,-0.12015867880970822,-0.1495555480363107,-0.27990484610842703,-0.10721173862604412,-0.15971099307578912,0.06195769369424875,17
0.08077564239501953,0.10385446483350673,0.0015871047973632813,2.232871140687238e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-0.15812582927745267,-0.18761259054709647,-0.1806457622038135,-0.25660076196859705,-0.11898545747473177,-0.1803940802943383,0.045003383263497565,47
0.09066939353942871,0.04010250103804747,0.0016520023345947266,0.00013955558169486692,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-0.14245685235797817,-0.12015867880970822,-0.1495555480363107,-0.27990484610842703,-0.1043958919988479,-0.1592943634622544,0.06240301084478526,15
0.02558741569519043,0.007852305491625721,0.001877593994140625,0.0001898446408305649,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-0.19093812814151753,-0.13394383569893537,-0.1766970521118041,-0.2206086813859147,-0.10772388488081201,-0.16598231644379674,0.04035380264940257,37
0.03869638442993164,0.023087905014258933,0.0019820213317871095,0.00026139773748214915,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-0.1369931677645304,-0.11945856124702263,-0.15514712688357638,-0.22593311582396652,-0.10450827394284797,-0.14840804913238878,0.0423110240046955,5
