mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.039199542999267575,0.003812745174185507,0.0015973091125488282,5.1517085822706514e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-130.07655567261065,-92.08315801261385,-212.55863304559455,-126.33165582565749,-179.2529243289344,-148.0605853770822,42.57230141898216,45
0.0237825870513916,0.0014256125377592218,0.0015652179718017578,2.71918453800739e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-116.59146124664201,-97.2778828753071,-197.18267412807242,-122.17943944860205,-169.50494856781017,-140.54728125328674,36.95839277653977,37
0.03804788589477539,0.0035207564131923383,0.0015497207641601562,7.855521339497028e-06,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-130.07655567261065,-92.08315801261385,-212.55863304559455,-126.33165582565749,-179.2529243289344,-148.0605853770822,42.57230141898216,45
0.05916085243225098,0.0011281579056107941,0.0015572071075439452,4.097404849158451e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-116.59146124664201,-97.2778828753071,-196.73483081972418,-122.17943944860205,-169.50494856781017,-140.45771259161708,36.82131684391178,35
0.036642599105834964,0.0006504007867853909,0.0015939712524414063,1.280962476501021e-05,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-119.8841651896312,-92.034330592407,-198.06364178815744,-96.74010799137635,-176.28799057992867,-136.60204722830014,42.912107501900365,25
0.011735153198242188,0.00010807042655445311,0.001548624038696289,6.863142910126523e-06,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-1611.9455657515841,-2045.2013019431688,-2127.17207785509,-1561.8119087191135,-1890.7340126629974,-1847.3729733863906,226.3956501736534,47
0.03585696220397949,0.0015727369136114017,0.0015748977661132813,2.173802232786257e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-119.8841651896312,-92.034330592407,-198.06364178815744,-96.74010799137635,-176.28799057992867,-136.60204722830014,42.912107501900365,25
0.1360107421875,0.0620760016606141,0.0015745162963867188,2.278862599439339e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-109.42911956963404,-100.5515324821988,-186.17879062882233,-92.17091125850425,-173.93410675637958,-132.4528921391078,39.44006128191713,20
0.03586077690124512,0.004486624476232301,0.0016285896301269532,7.498897668261916e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-119.73454446424654,-91.81822943719077,-237.132913590498,-98.8456782619488,-175.17107857599058,-144.54048886597494,54.762354542925316,39
0.013286447525024414,0.006571063784107597,0.001568746566772461,9.962816081710457e-06,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-112.09675032307055,-93.37746481183001,-220.0156513785197,-91.65998955282517,-178.06035202721736,-139.04204161869256,51.25527325183451,33
