mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06179661750793457,0.0020818852056299583,0.006249761581420899,0.00012419640976578714,squared_error,4,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",-92.40110701241123,-36.53531284858707,-115.43510570429675,-114.81408044041018,-122.00660080129273,-96.2384413613996,31.485720633743203,21
0.12354297637939453,0.006745466724636388,0.013370370864868164,0.004825780005431795,squared_error,4,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",-89.57512943535252,-36.29892086554487,-112.77706824380365,-113.31712277330894,-122.16863961242044,-94.82737618608607,31.192220304793942,18
0.04051656723022461,0.00019892971890541868,0.006201267242431641,0.00016647518171853545,squared_error,4,log2,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",-85.8074504025592,-33.36211433887587,-116.71718744272269,-101.74150566350406,-122.5013460861109,-92.02592078675454,31.977849666991006,8
0.08468565940856934,0.008991196925468136,0.01094818115234375,0.0003278960238905757,squared_error,4,log2,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",-82.12782993290027,-33.64756150950426,-115.27003171819489,-103.30914432316524,-119.11370316287146,-90.69365412932721,31.300089912471474,2
0.08117289543151855,0.001462084268376888,0.006376886367797851,0.0001555771825059774,squared_error,8,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}",-94.95796950613702,-39.84960598742444,-114.43871079268129,-113.29066179071904,-122.64663353274464,-97.03671632194128,29.99191488098847,24
0.15733842849731444,0.000489634342444187,0.01091156005859375,0.00023458961505464277,squared_error,8,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",-92.49287466040764,-39.06737321447699,-112.40232858089237,-114.72096543528899,-124.68291298387322,-96.67329097498785,30.63846518384219,23
0.04914851188659668,0.0018351985649500881,0.0065667152404785155,0.00028312912078893687,squared_error,8,log2,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100}",-85.57815145362679,-40.01956570364992,-118.70898082795026,-106.89199130305683,-124.56413691454469,-95.15256524056569,30.623769935254394,19
0.10468783378601074,0.013849722965666465,0.011416482925415038,0.0002022412154762255,squared_error,8,log2,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200}",-81.66678243460193,-38.33755545993893,-115.74710012463083,-106.55364796804076,-120.93432681268297,-92.64788255997908,30.322477741178737,12
0.08510360717773438,0.0007870897006594744,0.006296873092651367,0.00013873953854312755,squared_error,12,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",-91.23910125820414,-40.446862740272266,-117.51568170076811,-115.89068084396436,-116.96680973944007,-96.41182725652979,29.685484877012797,22
0.175606632232666,0.008224776333202765,0.011264657974243164,0.00022630043478655905,squared_error,12,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 200}",-89.60841906926434,-40.65547083970182,-113.79191183886127,-113.19437989065725,-121.00965981593777,-95.6519682908845,29.46504877047202,20
