mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04208006858825684,0.0023442414209855675,0.0016588687896728516,5.6309885554008384e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-186.04073362255494,-242.08788416051024,-275.07646390769486,-237.53601327838965,-267.3368603391351,-241.61559106165697,31.262259994762772,21
0.023196983337402343,0.0005708383979664381,0.0015695571899414062,8.959464402433811e-06,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-181.37608482182586,-236.00134312049346,-257.03861487598243,-236.10362704580606,-249.5515486769643,-232.01424370821442,26.572991442882223,9
0.04203801155090332,0.0019087651500241322,0.001625394821166992,5.052215143458071e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-186.04073362255494,-242.08788416051024,-275.07646390769486,-237.53601327838965,-267.3368603391351,-241.61559106165697,31.262259994762772,21
0.05745034217834473,0.0029631623854707396,0.0016435623168945313,2.385596811465408e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-181.37608482182586,-236.00134312049346,-257.03861487598243,-236.10362704580606,-249.5515486769643,-232.01424370821442,26.572991442882223,9
0.035894250869750975,0.0002935474223390432,0.0016440391540527345,3.8913418106995164e-05,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-176.20348392262363,-245.43943089601626,-297.9308537578051,-250.0465669531664,-299.4584848736505,-253.8157640806524,45.027624708716395,37
0.011204004287719727,9.759331888321837e-05,0.0016803741455078125,1.0143302624789548e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-1758.1059082731201,-1825.6298710639105,-1860.6484084621395,-2013.8745695574082,-1915.4008152906467,-1874.7319145294448,86.28513091871004,47
0.032610416412353516,0.0009229499707501714,0.0016211509704589845,2.8422694698124347e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-176.20348392262363,-245.43943089601626,-297.9308537578051,-250.0465669531664,-299.4584848736505,-253.8157640806524,45.027624708716395,37
0.07740898132324218,0.00630920367613628,0.001665019989013672,1.8516146204160087e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-166.66236470481,-238.11430614701737,-277.35595255834306,-246.01919591645188,-296.1294236052934,-244.85624858638317,44.37625253582825,26
0.024876499176025392,0.0032446699637068283,0.0015759468078613281,1.0849486244839488e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-174.37875053144944,-332.8153439176821,-281.9628172245935,-244.19434095807884,-264.1456447349798,-259.4993794733567,51.73236923688426,39
0.011817359924316406,0.0025246903913920394,0.0016291141510009766,3.7518025168796086e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-320.6466832731308,-235.2590865063628,-273.86119235542714,-250.05630602610847,-246.89692796237782,-265.3440392246814,30.364582712561987,43
