mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0007480621337890625,5.744900361376278e-05,0.0002489566802978516,7.190261645058641e-05,squared_error,,1,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-0.03360588235294118,-0.042800000000000005,-0.10254242424242424,-0.06497575757575759,-0.0654,-0.061864812834224604,0.023828041613646943,94
0.0003914833068847656,2.3799859248831277e-05,0.00020503997802734375,1.7752820945750113e-05,squared_error,,1,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-0.024926470588235296,-0.03844705882352942,-0.05117878787878788,-0.050381818181818194,-0.060824242424242426,-0.04515167557932264,0.012355732504346724,76
0.0006531238555908203,2.9024306582072848e-05,0.0001972675323486328,2.579332034358696e-06,squared_error,,1,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",-0.03756231617647059,-0.04735024509803923,-0.10571954966329966,-0.057770370370370375,-0.06537824074074074,-0.06275614440978412,0.02345062147394837,97
0.00034389495849609377,5.268133523801471e-06,0.00019464492797851562,8.34124359347148e-07,squared_error,,1,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",-0.06675386029411765,-0.03566527777777778,-0.031727630471380476,-0.03709368686868687,-0.06441098484848484,-0.04713028805208952,0.015186367266468773,83
0.0006089687347412109,2.7757657169760452e-05,0.00019559860229492187,6.834924678192617e-06,squared_error,,1,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",-0.027960860906862745,-0.04120028733715708,-0.10191598456933278,-0.05745260812728571,-0.0617515841521794,-0.05805626501856355,0.025010206382420894,91
0.0003233432769775391,3.883808649882743e-06,0.0001991748809814453,7.478898592642843e-07,squared_error,,1,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",-0.02575567467727832,-0.03890290126467253,-0.03290121286943509,-0.023501387330409153,-0.04122315773952679,-0.03245686677626437,0.006981450407780438,4
0.0006038665771484375,2.653177824330137e-05,0.0001990795135498047,2.0675166500738907e-06,squared_error,,2,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-0.02709142156862745,-0.033752777777777784,-0.035457828282828285,-0.053117929292929286,-0.06313080808080808,-0.04251015300059417,0.013430566015581824,63
0.0003423213958740234,2.9020546063810234e-06,0.00019769668579101564,1.3520666960485293e-06,squared_error,,2,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-0.03521633986928105,-0.028891258169934635,-0.026282912457912457,-0.04085008417508418,-0.05336868686868687,-0.03692185630817984,0.009659354312694357,47
0.0005982398986816406,2.2218462631375262e-05,0.0001987457275390625,1.1738332390872165e-06,squared_error,,2,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",-0.03089234068627451,-0.030757271241830062,-0.03249021464646464,-0.053771212121212116,-0.06869772727272729,-0.04332175319370172,0.015380572041611999,68
0.00033249855041503904,3.5510764621564615e-06,0.0001983642578125,1.3737545290840085e-06,squared_error,,2,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",-0.03322369281045752,-0.029033925653594767,-0.027130239898989904,-0.02801233164983165,-0.04905263047138047,-0.03329056409685086,0.008153226490023984,7
0.0005654335021972656,2.1189282714399105e-05,0.00019822120666503906,8.064048063892252e-07,squared_error,,2,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",-0.02395737743013872,-0.02448778197621641,-0.030822201056292315,-0.038154157615459205,-0.05728487539797064,-0.03494127869521546,0.012299978746502562,23
0.00031037330627441405,4.587064412619109e-06,0.0001976490020751953,9.416779355111837e-07,squared_error,,2,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",-0.029297976783305917,-0.04340435726373883,-0.0408307242798354,-0.025094200246512748,-0.04432168257594845,-0.03658978822986826,0.00786797479827599,42
0.00053558349609375,2.587543559306138e-05,0.0001979827880859375,1.9867579132079753e-06,squared_error,,4,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",-0.024525730192076836,-0.02923975920368147,-0.036027959406995116,-0.02717188497217068,-0.06064865319865321,-0.035522797394715463,0.013127936721338027,32
0.0003067970275878906,1.701981382138705e-06,0.00020127296447753907,3.4858068242067463e-06,squared_error,,4,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",-0.026221802470988393,-0.028073269607843135,-0.03707331302633287,-0.01910142812478527,-0.05605414921322064,-0.033304792488634063,0.012735840113004774,9
0.0005321025848388672,2.1370285961464093e-05,0.00019812583923339844,1.7192608239479013e-06,squared_error,,4,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",-0.024525730192076836,-0.02923975920368147,-0.036027959406995116,-0.02717188497217068,-0.06064865319865321,-0.035522797394715463,0.013127936721338027,32
