mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.014631843566894532,0.005130197419753658,0.0003406524658203125,2.1394211918513003e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-21.765307998321806,-23.683898426988506,-8.048214448185119,-12.919775267909598,-8.649993712986662,-15.013437970878337,6.544552214577181,19
0.27030625343322756,0.0024389749468356928,0.00037212371826171874,2.393057529434556e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-842.2334270048399,-950.0871931259462,-1684.4951406122784,-838.9930424236936,-641.6322677600846,-991.4882141853686,360.5283891114524,43
0.01445159912109375,0.005775348513672979,0.0003756999969482422,6.097925129253898e-06,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-21.765307998321806,-23.683898426988506,-8.048214448185119,-12.919775267909598,-8.649993712986662,-15.013437970878337,6.544552214577181,19
0.2720046043395996,0.0012587911147691336,0.00038909912109375,3.799467680332444e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-842.2334270048399,-950.0871931259462,-1684.4951406122784,-838.9930424236936,-641.6322677600846,-991.4882141853686,360.5283891114524,43
0.02288398742675781,0.014034223994360625,0.0007261753082275391,0.0005064175040957669,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-18.321836983997404,-27.134027742064657,-7.863186365709027,-14.18670994306107,-16.597566175428213,-16.820665442052075,6.258480393613515,23
0.41985363960266114,0.09812557613863818,0.0005837917327880859,0.00031929571563920847,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-1830.5978868515615,-2165.359204295981,-2872.4516820363406,-1773.7562292881894,-1557.4294022180786,-2039.9188809380303,459.6303019607864,47
0.013090801239013673,0.004510475901759364,0.00034332275390625,7.083881010457567e-06,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-18.321836983997404,-27.134027742064657,-7.863186365709027,-14.18670994306107,-16.597566175428213,-16.820665442052075,6.258480393613515,23
0.35633373260498047,0.013696477401357451,0.00042705535888671876,4.716746293462122e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1830.5978868515615,-2165.359204295981,-2872.4516820363406,-1773.7562292881894,-1557.4294022180786,-2039.9188809380303,459.6303019607864,47
0.010504055023193359,0.0026903534870952534,0.00034203529357910154,5.774653516922413e-06,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-27.363925309755697,-14.362385381217987,-40.24444528685867,-27.628267349982703,-9.363830674490856,-23.792570800461185,10.91098761644737,25
0.01196150779724121,0.004627521987388922,0.0003445148468017578,4.000888245277983e-06,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-1.0595291237582367,-227.44845799298366,-215.0390496122452,-3.389764040042266,-0.8268159849568996,-89.55272335079727,107.6005941718593,37
0.010730552673339843,0.0027696812877009446,0.00033817291259765627,5.0296714733483335e-06,relu,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-27.363925309755697,-14.362385381217987,-40.24444528685867,-27.628267349982703,-9.363830674490856,-23.792570800461185,10.91098761644737,25
0.03794021606445312,0.0037185585842354728,0.00034275054931640623,5.139234003184311e-06,relu,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1.0595291237582367,-227.44845799298366,-215.0390496122452,-3.389764040042266,-0.8268159849568996,-89.55272335079727,107.6005941718593,37
0.014687824249267577,0.006730068923216761,0.00032677650451660154,3.6113922555468536e-06,relu,0.001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-21.76529366344462,-23.683889962974806,-8.048235139259072,-12.919740115074445,-8.65001307388731,-15.01343439092805,6.5445410940273785,17
0.2705692768096924,0.0017796270856230713,0.00041069984436035154,3.454111741397857e-05,relu,0.001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-842.2331693948652,-950.0868956030857,-1684.4948798146181,-838.992778805983,-641.6320486655011,-991.4879544568106,360.5283818358309,41
0.013979148864746094,0.005607523196623099,0.0003304481506347656,5.724032375115443e-06,relu,0.001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-21.76529366344462,-23.683889962974806,-8.048235139259072,-12.919740115074445,-8.65001307388731,-15.01343439092805,6.5445410940273785,17
0.27111501693725587,0.0015338517481728823,0.0004191398620605469,6.296038373699579e-05,relu,0.001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-842.2331693948652,-950.0868956030857,-1684.4948798146181,-838.992778805983,-641.6320486655011,-991.4879544568106,360.5283818358309,41
0.012749719619750976,0.004802124680762036,0.0003448009490966797,6.862811605407151e-06,relu,0.001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-18.321818208413227,-27.13401945522843,-7.863193373381131,-14.18673305066072,-16.597554689322195,-16.82066375540114,6.25847289265464,21
0.3519720554351807,0.01633288208486063,0.0003943443298339844,3.1452462337922195e-05,relu,0.001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-1830.5973606562854,-2165.3585777953117,-2872.45082877352,-1773.755798990982,-1557.428949996235,-2039.9183032424667,459.63015136467334,45
0.013045644760131836,0.004919922052119138,0.0003405570983886719,7.221525198990841e-06,relu,0.001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-18.321818208413227,-27.13401945522843,-7.863193373381131,-14.18673305066072,-16.597554689322195,-16.82066375540114,6.25847289265464,21
0.35808839797973635,0.014959553273216087,0.0003926277160644531,4.174311029027697e-05,relu,0.001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1830.5973606562854,-2165.3585777953117,-2872.45082877352,-1773.755798990982,-1557.428949996235,-2039.9183032424667,459.63015136467334,45
0.010894346237182616,0.0027839241979599736,0.0003977775573730469,2.5471585893505824e-05,relu,0.001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-27.35477093084604,-14.35442774432881,-40.662415071867166,-27.62390803512409,-9.273284585992128,-23.853761273631644,11.061912634547195,27
0.011878585815429688,0.00466897688663075,0.00034389495849609377,5.6311218045175635e-06,relu,0.001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-1.0595290988288382,-227.4484885520776,-215.03967076046538,-3.389763314490151,-0.8268164059317455,-89.55285362635875,107.60074693503053,39
0.010463857650756836,0.002874641647298614,0.0003418445587158203,4.233927322468397e-06,relu,0.001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-27.35477093084604,-14.35442774432881,-40.662415071867166,-27.62390803512409,-9.273284585992128,-23.853761273631644,11.061912634547195,27
0.037510108947753903,0.004600966603946225,0.00033707618713378905,2.8185876285804077e-06,relu,0.001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1.0595290988288382,-227.4484885520776,-215.03967076046538,-3.389763314490151,-0.8268164059317455,-89.55285362635875,107.60074693503053,39
0.12154464721679688,0.09283381173760541,0.0003377437591552734,6.444538428503686e-06,tanh,0.0001,"(50,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-9.765403762469225,-17.37364892028989,-9.762979001164869,-14.128678459999849,-20.657551665917868,-14.337652361968338,4.266970026132655,15
0.02456502914428711,0.020877631549903942,0.00032553672790527346,2.5881322374557327e-06,tanh,0.0001,"(50,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-5.389803930852298,-17.24564739105928,-7.573567835092748,-15.018266781814729,-10.174367266294194,-11.08033064102265,4.450139793979591,9
0.12187557220458985,0.09456930315708484,0.00034847259521484373,3.129577845959817e-05,tanh,0.0001,"(50,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-9.765403762469225,-17.37364892028989,-9.762979001164869,-14.128678459999849,-20.657551665917868,-14.337652361968338,4.266970026132655,15
0.04922351837158203,0.019949676505750618,0.00035586357116699217,2.129044537854034e-05,tanh,0.0001,"(50,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-5.389803930852298,-13.126297082480114,-7.573567835092748,-15.018266781814729,-10.174367266294194,-10.256460579306818,3.5156723279661097,7
0.03968663215637207,0.010442599534561179,0.0003792285919189453,2.3929245063085836e-05,tanh,0.0001,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-38.00226462582372,-21.501726325566153,-30.356594736601863,-39.55712808502695,-42.89698018410521,-34.46293879142478,7.6741870737720514,35
0.016309738159179688,0.007064969493310926,0.00033884048461914064,8.103987439219236e-06,tanh,0.0001,"(100,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-16.160780158647867,-7.383845176295417,-16.780493169574466,-18.920365966191614,-7.5952194202727945,-13.36814077819643,4.8868927335496615,12
0.03759965896606445,0.008785440007623725,0.0003590106964111328,2.27143721439809e-05,tanh,0.0001,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-38.00226462582372,-21.501726325566153,-30.356594736601863,-39.55712808502695,-42.89698018410521,-34.46293879142478,7.6741870737720514,35
0.11441264152526856,0.13707612469641783,0.00034165382385253906,6.304357101836552e-06,tanh,0.0001,"(100,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-16.160780158647867,-7.383845176295417,-11.099845001934074,-7.904989441170006,-5.941143222529193,-9.698120600115312,3.644636304881943,6
0.023800420761108398,0.008940631052920494,0.0003387928009033203,4.307399669889913e-06,tanh,0.0001,"(50, 50)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-26.095152301482383,-11.430513865765246,-13.89644297416784,-49.298671491249635,-37.139805746112806,-27.572117275755584,14.236155903391602,31
0.026938247680664062,0.016888640110802898,0.0003327369689941406,4.002592806135809e-06,tanh,0.0001,"(50, 50)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-1.357202393122071,-1.667082665863313,-3.7003356598276693,-4.277497223365685,-1.8621893698954968,-2.572861462414847,1.1815496745770857,2
0.02357821464538574,0.009055995480438951,0.0003352165222167969,3.086576906715824e-06,tanh,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-26.095152301482383,-11.430513865765246,-13.89644297416784,-49.298671491249635,-37.139805746112806,-27.572117275755584,14.236155903391602,31
0.09513378143310547,0.09478542642269272,0.0003786563873291016,3.076150386504399e-05,tanh,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1.3617237195549394,-1.667082665863313,-3.7003356598276693,-4.277497223365685,-1.8621893698954968,-2.5737657277014208,1.1806203232549877,4
0.12464356422424316,0.09759305877975089,0.0003665924072265625,1.3522852961264269e-05,tanh,0.001,"(50,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-9.76587299619713,-17.372181153243872,-9.762004386461616,-14.125874541440393,-20.627596719726263,-14.330705959413853,4.258029933115698,13
0.024928712844848634,0.020972453616482093,0.0003330230712890625,2.0752005717266985e-06,tanh,0.001,"(50,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-5.522956312392833,-17.238633986019977,-7.567598430143727,-15.007944765531315,-10.17765817207928,-11.102958333233426,4.413316379726694,10
0.12454214096069335,0.09912255532150104,0.00033245086669921877,5.77268445984709e-06,tanh,0.001,"(50,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-9.76587299619713,-17.372181153243872,-9.762004386461616,-14.125874541440393,-20.627596719726263,-14.330705959413853,4.258029933115698,13
0.049978113174438475,0.01975022484378442,0.0003361225128173828,5.916240664284301e-06,tanh,0.001,"(50,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-5.522956312392833,-13.115712416016631,-7.567598430143727,-15.007944765531315,-10.17765817207928,-10.278374019232757,3.475392759528128,8
0.041091394424438474,0.0115187850779221,0.0003810882568359375,2.387835570054972e-05,tanh,0.001,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-38.00238528434148,-21.49964569708405,-30.356437119370472,-39.55718133475898,-42.89465098149771,-34.46206008341054,7.674413058918434,33
