mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.028272008895874022,0.0015092107476053767,0.0014278411865234375,3.81116107117756e-05,squared_error,,1,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-5261.777058823529,-2973.6675757575763,-3162.8360606060605,-3885.6154545454547,-4213.255454545454,-3899.430320855615,819.0571975097312,51
0.009325551986694335,0.0002462459015774428,0.0014066219329833985,3.8099259100796087e-06,squared_error,,1,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-3578.2908823529406,-4040.8603030303025,-4037.6118181818183,-5845.010303030303,-3855.8515151515153,-4271.524964349376,804.6285560163479,91
0.02524676322937012,0.0014050797400250966,0.0014796733856201171,7.468271614595337e-05,squared_error,,1,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",-4266.595232843137,-3977.6566603535357,-3284.0812499999993,-4190.363973063973,-4453.307295875421,-4034.400882427213,404.94956297754914,64
0.007004404067993164,0.00019439538054136156,0.0014898300170898438,1.3022456837808302e-05,squared_error,,1,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",-3526.4416973039206,-5709.281195286196,-4223.205803872053,-4601.046012205387,-3343.0467760942765,-4280.604296952367,847.9234035384363,97
0.022510433197021486,0.0015430668050129812,0.0015572547912597657,0.0001372274545819441,squared_error,,1,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",-4241.590534822077,-4057.6997997888952,-3252.9884180345116,-4032.960911160165,-4760.269345924379,-4069.1018019460053,484.75605449705193,72
0.005189847946166992,0.00017790738777681106,0.0015172481536865235,1.2819206301087503e-05,squared_error,,1,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",-4718.263519477606,-4816.149226231037,-3394.894973596939,-4900.177402787369,-3283.470097430035,-4222.591043904597,724.4521695048433,88
0.024739170074462892,0.0014131678358450253,0.0015347003936767578,1.4028254206996584e-05,squared_error,,2,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-4235.4006127450975,-4019.9912205387204,-3428.6936279461283,-4222.092264309764,-4805.930370370371,-4142.421619182016,442.6360165707659,79
0.006730556488037109,0.00011459618208461174,0.0015270709991455078,1.3021234571960454e-05,squared_error,,2,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-4311.828292483659,-4324.410664983165,-5701.6068013468,-5133.104385521886,-3163.165336700337,-4526.823096207169,859.587086762014,104
0.024106359481811522,0.0013807350849040895,0.0015186309814453126,8.570609055877568e-06,squared_error,,2,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",-4616.663558006535,-4233.964050925926,-3262.32481060606,-4867.184842171717,-4404.035641835017,-4276.834580709051,549.7718128332832,93
0.006450128555297851,3.4318828598531964e-05,0.0015498161315917968,7.230109354427603e-05,squared_error,,2,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",-2783.8610580065356,-3762.9681418350165,-5115.743425925925,-6336.033876262625,-3061.919438131313,-4212.105188032283,1333.5792273551995,85
0.022300577163696288,0.0015110502599963156,0.0014555931091308593,2.977060537606167e-05,squared_error,,2,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",-4241.590534822077,-2681.611121001016,-3439.5179522072576,-4268.751437470891,-4760.269345924379,-3878.3480782851243,733.0615542902387,47
0.005075931549072266,0.00024749561941407865,0.0014441967010498046,2.5941694424803103e-05,squared_error,,2,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",-4730.270872418782,-3289.2000783278268,-3050.2920840305455,-3642.066863307824,-3375.335930763368,-3617.433165769669,587.7093870068747,35
0.020876169204711914,0.0018470138399265584,0.0014829158782958985,6.367256406756028e-05,squared_error,,4,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",-3382.6481085250766,-2374.9002857177215,-2681.2840798357724,-3905.7626553683103,-4582.685818709201,-3385.456189631216,802.6415244052255,22
0.004968070983886718,0.00025021684457031293,0.0015537738800048828,0.00016785399464359796,squared_error,,4,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",-2440.6382654995327,-2044.1602036693469,-3435.3645053116193,-2496.1652680083143,-4052.8402672696357,-2893.83370195169,737.8378101042457,3
0.02283940315246582,0.0022489224554840394,0.001663064956665039,0.00011468499699063598,squared_error,,4,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",-3382.6481085250766,-2374.9002857177215,-2681.2840798357724,-3905.7626553683103,-4582.685818709201,-3385.456189631216,802.6415244052255,22
0.005034303665161133,0.0003149948732000593,0.0015671730041503906,0.00010581245394101781,squared_error,,4,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",-2440.6382654995327,-2044.1602036693469,-3435.3645053116193,-2496.1652680083143,-4052.8402672696357,-2893.83370195169,737.8378101042457,3
0.02035064697265625,0.001756536110435791,0.001495027542114258,9.694412543498114e-05,squared_error,,4,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",-2774.3778968965366,-2833.0181076874187,-2488.4324645369516,-3027.3194492893804,-4757.935999792998,-3176.2167836406575,809.4829444285097,16
0.004517984390258789,0.00018418759720941855,0.0014567375183105469,9.604807199396693e-05,squared_error,,4,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",-2618.8774602962476,-2778.447120488855,-4040.8308638158796,-3665.296947709569,-3777.1326905671413,-3376.1170165755384,568.6658337464986,20
0.02747659683227539,0.0008002390296473173,0.0019263744354248047,0.0009397790276236816,squared_error,10,1,2,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-4809.611350326797,-4411.179708651136,-3316.5352356902363,-4862.542727272727,-4245.210172558923,-4329.015838899964,557.5866299149629,101
0.012164831161499023,0.006225219480499463,0.0020874500274658202,0.0009713006310773436,squared_error,10,1,2,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-4536.764301243646,-4821.702926530612,-3209.454175084175,-6037.316063636363,-2887.185878513021,-4298.484669001563,1142.962890021993,99
0.02716817855834961,0.0029212866393789516,0.0017527103424072265,0.00011867341714891972,squared_error,10,1,5,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",-4347.198484722222,-4042.1526653009696,-3183.061224747474,-4190.363973063973,-4107.78453493266,-3974.11217655346,408.464845168794,58
0.011241722106933593,0.00870005993385494,0.0018456459045410156,0.0005686661549736755,squared_error,10,1,5,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",-3311.6940848422696,-4098.012077124551,-3956.6033139262995,-7215.7191823232315,-3157.6670791245792,-4347.939147468186,1478.5344791321736,102
0.02811150550842285,0.005921338393948822,0.0018538951873779297,0.0002709986182097395,squared_error,10,1,10,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",-4241.590534822077,-4057.6997997888952,-3252.9884180345116,-4032.960911160165,-4760.269345924379,-4069.1018019460053,484.75605449705193,72
0.0053864002227783205,0.00019932548380878484,0.0016473770141601563,0.00012401512386939385,squared_error,10,1,10,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",-4718.263519477606,-4816.149226231037,-3394.894973596939,-4900.177402787369,-3283.470097430035,-4222.591043904597,724.4521695048433,88
0.026340246200561523,0.002093809200929142,0.0021744728088378905,0.0007856573775712506,squared_error,10,2,2,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-4696.554325980391,-3996.2702509791793,-3317.302415824916,-3915.2208474747476,-4871.1067003367,-4159.2909081191865,563.9901156111636,82
0.008998584747314454,0.0017652766139845026,0.0022429943084716795,0.00022961317879478043,squared_error,10,2,2,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-4033.7835791666653,-4023.1184932659926,-4167.377584175085,-5259.094587542088,-2958.9753367003364,-4088.4699161700337,729.329548321852,75
0.029703378677368164,0.0032867406826100685,0.002037811279296875,0.00025960389135227667,squared_error,10,2,5,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",-4609.781687091503,-4151.109810520168,-3186.69683080808,-4598.01076540404,-4173.924497053872,-4143.904718175532,517.7747951404921,81
0.007426548004150391,0.0002138447675278266,0.0018488407135009766,0.00017573267895648473,squared_error,10,2,5,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",-3657.6205412581694,-2709.6133585858584,-5115.743425925925,-6640.894355050506,-2969.741197390573,-4218.722575642207,1471.309834128718,87
0.03632607460021973,0.008752257472914814,0.003515481948852539,0.001408614939072524,squared_error,10,2,10,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",-4241.590534822077,-2681.611121001016,-3439.5179522072576,-4268.751437470891,-4760.269345924379,-3878.3480782851243,733.0615542902387,47
0.008870983123779297,0.0016103957297471136,0.002781105041503906,0.0006535738446688321,squared_error,10,2,10,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",-4730.270872418782,-3289.2000783278268,-3050.2920840305455,-3058.226875440202,-3375.335930763368,-3500.665168196145,627.8443513615414,28
0.03583559989929199,0.006272293932587291,0.003216409683227539,0.0011367533087847394,squared_error,10,4,2,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",-3382.6481085250766,-2374.9002857177215,-2681.2840798357724,-3905.7626553683103,-4582.685818709201,-3385.456189631216,802.6415244052255,22
0.0058609962463378905,0.0008546252418494862,0.0018974781036376954,0.00023706651690171853,squared_error,10,4,2,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",-2440.6382654995327,-2044.1602036693469,-3435.3645053116193,-2244.93886986532,-4052.8402672696357,-2843.588422323091,771.0155055802427,1
0.023688602447509765,0.0019943112565502736,0.0017375946044921875,6.241705509832205e-05,squared_error,10,4,5,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",-3382.6481085250766,-2374.9002857177215,-2681.2840798357724,-3905.7626553683103,-4582.685818709201,-3385.456189631216,802.6415244052255,22
0.006810426712036133,0.0017979425199971934,0.0027855396270751952,0.0009255347283621258,squared_error,10,4,5,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",-2440.6382654995327,-2044.1602036693469,-3435.3645053116193,-2244.93886986532,-4052.8402672696357,-2843.588422323091,771.0155055802427,1
0.02590970993041992,0.005306058074143696,0.002602672576904297,0.0011437466571269856,squared_error,10,4,10,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",-2774.3778968965366,-2833.0181076874187,-2488.4324645369516,-3027.3194492893804,-4757.935999792998,-3176.2167836406575,809.4829444285097,16
0.004681730270385742,0.00017440866453924167,0.0015482902526855469,8.375614482739404e-05,squared_error,10,4,10,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",-2618.8774602962476,-2778.447120488855,-4040.8308638158796,-3301.0971256121015,-3777.1326905671413,-3303.277052156045,549.9779635111429,19
0.029310846328735353,0.0012007048393576992,0.0017989635467529296,0.00017827178146578645,squared_error,20,1,2,best,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-5261.777058823529,-2973.6675757575763,-3162.8360606060605,-3885.6154545454547,-4213.255454545454,-3899.430320855615,819.0571975097312,51
0.009687376022338868,0.00019966518460547364,0.0016208648681640624,0.00017306565382791019,squared_error,20,1,2,random,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-3578.2908823529406,-4040.8603030303025,-4037.6118181818183,-5845.010303030303,-3855.8515151515153,-4271.524964349376,804.6285560163479,91
0.026268434524536134,0.0015300337462026135,0.0017435550689697266,0.00010825621306203533,squared_error,20,1,5,best,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",-4266.595232843137,-3977.6566603535357,-3284.0812499999993,-4190.363973063973,-4453.307295875421,-4034.400882427213,404.94956297754914,64
0.007260417938232422,0.00020369669678326602,0.0015890121459960938,9.545029378225928e-05,squared_error,20,1,5,random,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",-3526.4416973039206,-5709.281195286196,-4223.205803872053,-4601.046012205387,-3343.0467760942765,-4280.604296952367,847.9234035384363,97
