mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.056672286987304685,0.015225158041334994,0.0003680706024169922,2.182924887790231e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-2135.7428761423766,-3335.966732704631,-3987.0198078936487,-4231.779783735113,-3550.2430996765065,-3448.150460030455,727.9940731942644,9
0.2659585952758789,0.0018660696426956002,0.0004219532012939453,3.715182706621054e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-17862158.85671897,-16391240.216800956,-17206900.510508083,-14844696.127277495,-9854597.440401323,-15231918.630341362,2871524.6146578714,39
0.057161903381347655,0.0149037340663633,0.0003704547882080078,1.628341296784463e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2135.7428761423766,-3335.966732704631,-3987.0198078936487,-4231.779783735113,-3550.2430996765065,-3448.150460030455,727.9940731942644,9
0.2670469284057617,0.0011968139718882393,0.00041832923889160154,3.997010505599539e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-17862158.85671897,-16391240.216800956,-17206900.510508083,-14844696.127277495,-9854597.440401323,-15231918.630341362,2871524.6146578714,39
0.03480210304260254,0.008135022291361699,0.0003703594207763672,4.28782408644988e-06,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-4997.514031511146,-3217.098403934601,-5326.798679044443,-3903.1168409987963,-3967.2979574236733,-4282.365182582532,772.0322759198389,16
0.3493901252746582,0.01441655952605169,0.00040078163146972656,3.51856067934156e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-18122321.132480465,-15974331.685661716,-15989570.04869361,-18006538.962698795,-17669925.816591922,-17152537.5292253,967279.8660163586,43
0.03461666107177734,0.007925707812496201,0.00036540031433105467,8.954641275998174e-06,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-4997.514031511146,-3217.098403934601,-5326.798679044443,-3903.1168409987963,-3967.2979574236733,-4282.365182582532,772.0322759198389,16
0.3432925224304199,0.025446706627570044,0.00040912628173828125,2.4329912179227247e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-18122321.132480465,-15974331.685661716,-15989570.04869361,-18006538.962698795,-17669925.816591922,-17152537.5292253,967279.8660163586,43
0.019858837127685547,0.010172442946367823,0.0003734111785888672,5.944994878962974e-06,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-11534.76930022526,-7391.05421200037,-5394.423004125788,-4147.194982264316,-4841.517588934551,-6661.791817510057,2665.353725389943,31
0.005112171173095703,5.6494236940254e-05,0.00037465095520019533,3.174339021772492e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-2174619519.3712163,-2200777058.3403387,-1956726710.6989844,-2282423919.6831064,-1958589504.6991527,-2114627342.55856,133008979.01134948,47
0.019414615631103516,0.010182347312128368,0.0003602027893066406,2.253780803317351e-06,relu,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-11534.76930022526,-7391.05421200037,-5394.423004125788,-4147.194982264316,-4841.517588934551,-6661.791817510057,2665.353725389943,31
