mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.029796361923217773,0.005104578366386784,0.0015256881713867187,0.00021377303826772195,squared_error,,1,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-2730.7648387096783,-3320.599032258064,-5409.8769999999995,-4545.328666666666,-5395.747666666666,-4280.463440860215,1087.4275074828186,68
0.01552443504333496,0.006280682077042862,0.0032804012298583984,0.0014551348306265184,squared_error,,1,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-3851.2296774193546,-4063.001612903226,-5354.448666666666,-4087.4156666666668,-3044.777,-4080.1745247311833,741.4291212479707,45
0.02876310348510742,0.005618882984887635,0.001747274398803711,5.062061588486571e-05,squared_error,,1,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",-2719.669280913979,-3558.825739247312,-5115.559530092593,-4997.670597222222,-4382.154261574075,-4154.7758818100365,905.5346681399907,57
0.007429361343383789,0.0004793689984265919,0.0014559268951416016,3.3202592827059346e-05,squared_error,,1,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",-5259.674321236558,-4097.189670698925,-5796.40488888889,-5493.075597222222,-3061.593134259259,-4741.587522461171,1018.1765730792105,90
0.025619649887084962,0.005723092082070057,0.0015693187713623046,8.515534680541275e-05,squared_error,,1,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",-3051.59645379082,-3579.663272245539,-4523.356370874487,-4487.681743191872,-5292.547879489166,-4186.969143918376,785.3381872318624,59
0.0060595512390136715,0.0005925821068094476,0.0014376640319824219,4.550660637571566e-05,squared_error,,1,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",-3965.784139695493,-2970.7502410668562,-4823.848074442818,-5045.864303039966,-3330.9263312708913,-4027.4346179032045,809.5652987110898,40
0.025870227813720705,0.0037537223089777576,0.0015705585479736327,0.00020135967684082386,squared_error,,2,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-3026.343234767025,-4466.127804659498,-5345.125666666666,-5388.1450277777785,-4110.2925,-4467.206846774194,874.3392420820493,82
0.006936120986938477,0.00031727862338663435,0.0014704227447509765,7.085350915726893e-05,squared_error,,2,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-4084.209560931899,-2907.256550179211,-5688.635064814815,-5373.8873888888875,-4982.7804444444455,-4607.353801851851,1006.1509464897972,87
0.02520895004272461,0.0041063698401934984,0.001512908935546875,7.726654362528701e-05,squared_error,,2,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",-2586.360589157706,-4274.556668906811,-5214.942502314815,-5182.698550925926,-4491.752604166667,-4350.062183094385,956.8408287862394,74
0.006481027603149414,0.0002486757029209184,0.0014027595520019532,1.268655705458523e-05,squared_error,,2,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",-4152.217013888889,-4585.586438172043,-6784.667120370371,-5310.208583333334,-4522.635696759259,-5071.062970504779,935.3467417588896,101
0.02356438636779785,0.003984776699191966,0.001413869857788086,6.477618240240316e-06,squared_error,,2,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",-3051.59645379082,-4346.206562124204,-4566.317095318931,-4714.936800805041,-4520.71355851075,-4239.954094109949,605.7112720318358,62
0.005370426177978516,0.0004022257638059682,0.001385641098022461,1.005029758658426e-05,squared_error,,2,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",-3498.429903868133,-3189.635777532734,-5694.798017718622,-5165.329736268581,-5394.436243347505,-4588.525935747115,1034.5274284434893,84
0.020203638076782226,0.00043853776294815297,0.0013872146606445312,9.444024456203098e-06,squared_error,,4,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",-2331.0082233870967,-4482.29128132909,-4944.009221526834,-4847.739532040815,-3459.653062227892,-4012.9402641023457,991.8761733144448,32
0.004760074615478516,0.00019726773405629542,0.0013790130615234375,1.8805166242733904e-05,squared_error,,4,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",-3372.1445318100355,-3983.8698929997804,-4463.701743922904,-3380.7722664701437,-4679.707847222223,-3976.0392564850176,538.8983455168624,20
0.020264244079589842,0.00039279935498185217,0.0013873577117919922,9.10122134463114e-06,squared_error,,4,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",-2331.0082233870967,-4482.29128132909,-4944.009221526834,-4847.739532040815,-3459.653062227892,-4012.9402641023457,991.8761733144448,32
0.004761171340942383,0.00019988643983159584,0.0013806343078613282,1.733445721807432e-05,squared_error,,4,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",-3372.1445318100355,-3983.8698929997804,-4463.701743922904,-3380.7722664701437,-4679.707847222223,-3976.0392564850176,538.8983455168624,20
0.019889259338378908,0.0004603492118380329,0.0015161991119384765,0.00017960744902389053,squared_error,,4,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",-2893.029938600159,-4292.465409542501,-4996.381796249057,-4499.871709165301,-3870.8819907258344,-4110.526168856571,708.400795093164,47
0.004608583450317383,0.00022445092260024136,0.0014553546905517578,5.593879113606515e-05,squared_error,,4,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",-4129.359809286791,-4433.555366834906,-3665.643085303498,-4058.348891406892,-3121.1512273742337,-3881.6116760412638,452.15031677548654,11
0.02561802864074707,0.0016078711289609568,0.0014557361602783204,7.788597478965469e-05,squared_error,10,1,2,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-2636.823596425727,-3810.304878472222,-4890.383085268463,-5977.989951642102,-4364.726095993954,-4336.045521560493,1110.6621985119607,70
0.006981945037841797,0.0007238385642783825,0.0014716625213623048,5.960494995039063e-05,squared_error,10,1,2,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-4101.478761548532,-4090.537443130227,-6109.251075810185,-4210.615351051852,-3051.101410147549,-4312.596808337669,992.3324650003733,69
0.024395561218261717,0.0018442207253596314,0.001450824737548828,7.371976489328336e-05,squared_error,10,1,5,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",-2312.335025637196,-3372.5620402105733,-4679.61131906476,-5388.230150716176,-4301.25888766062,-4010.799484657865,1069.6840401243967,31
0.005820798873901367,0.00032257353203834333,0.001566457748413086,0.0001634457280587445,squared_error,10,1,5,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",-4094.784720251536,-2952.468565154341,-6677.428119628371,-5093.877029642435,-2986.817321066099,-4361.075151148556,1403.2930812161762,78
0.02284092903137207,0.002469180365114219,0.0014655590057373047,6.913069938387412e-05,squared_error,10,1,10,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",-3051.59645379082,-3150.8503444220437,-4634.436971328135,-4487.681743191872,-4566.161314016966,-3978.1453653499675,718.1947765713664,24
0.005061817169189453,0.0002191698058106261,0.0014910221099853516,6.333097597276549e-05,squared_error,10,1,10,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",-3606.7629971062584,-4612.182228017743,-4675.453485553893,-4993.955395230502,-2508.3198694131775,-4079.3347950643156,912.932278216559,44
0.02384648323059082,0.002009324623509956,0.0014865875244140625,0.00010079410423729594,squared_error,10,2,2,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-2846.513963809239,-4670.797288095149,-5883.10666156476,-5589.563045132277,-4686.814724977043,-4735.359136715693,1060.3065195849447,89
0.006091403961181641,0.00022542132577232026,0.001733112335205078,0.0002178422820440838,squared_error,10,2,2,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-3213.7995262155337,-3609.976074354473,-6131.666138888888,-4816.2384204638465,-4440.202111249233,-4442.376454234394,1019.3889146665217,80
0.023909378051757812,0.0018276984492272912,0.001546478271484375,6.828128290206287e-05,squared_error,10,2,5,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",-2494.2884306551173,-4383.603222234934,-4756.997969435131,-5505.045490049131,-4222.564724977044,-4272.499967470272,993.0539270816876,67
0.005822277069091797,9.922093310902947e-05,0.0015377521514892579,0.00015901224492567776,squared_error,10,2,5,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",-2841.217580440348,-3865.6746479932744,-5682.56203414352,-5118.129557420213,-5523.83500798375,-4606.283765596221,1088.6892863824207,86
0.022760438919067382,0.0019889654580175164,0.0014334678649902343,3.2163576504869596e-05,squared_error,10,2,10,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",-3051.59645379082,-4203.494360972043,-4677.39769577258,-4714.936800805041,-4610.021470730591,-4251.489356414216,627.1799138360618,64
0.004796743392944336,0.00011586544429564497,0.001397085189819336,1.2430185332918166e-05,squared_error,10,2,10,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",-3551.8184623358743,-4600.526947156391,-4303.671293193552,-4943.389200793406,-4365.967045828587,-4353.074589861562,459.19980227573546,76
