mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.20300545692443847,0.09736905138578274,0.0004213809967041016,1.0611742858739798e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-906873.6750230584,-993350.9878135722,-812443.6673871147,-611403.3296692539,-861973.3503878221,-837209.0020561643,127630.93888827841,13
0.29721803665161134,0.028948988672008652,0.0005365848541259765,0.00011310790479688799,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-3426481996681.81,-3218261542540.6064,-2226127218704.4624,-1946763550751.6914,-2208594596858.321,-2605245781107.378,597474541642.6392,43
0.201088285446167,0.0977677153331937,0.00039420127868652346,2.5914948007079945e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-906873.6750230584,-993350.9878135722,-812443.6673871147,-611403.3296692539,-861973.3503878221,-837209.0020561643,127630.93888827841,13
0.288441801071167,0.019848605251976778,0.000586557388305664,0.00019436431227512225,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-3426481996681.81,-3218261542540.6064,-2226127218704.4624,-1946763550751.6914,-2208594596858.321,-2605245781107.378,597474541642.6392,43
0.18615546226501464,0.1654484149081483,0.0004856109619140625,9.143076162625902e-05,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-464380.05130187515,-1647726.1686822695,-1464835.2533978806,-646500.0767685927,-866651.9519398642,-1018018.7004180964,461222.34587299416,23
0.4092416763305664,0.04124902215523978,0.0009281635284423828,0.0006261123737868285,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2675276700178.689,-2429690639462.1,-2780912458234.3677,-2513136192104.132,-2531834805087.583,-2586170159013.374,125408667828.07619,39
0.17747411727905274,0.15909428835536923,0.00043845176696777344,3.360568863390526e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-464380.05130187515,-1647726.1686822695,-1464835.2533978806,-646500.0767685927,-866651.9519398642,-1018018.7004180964,461222.34587299416,23
0.35201683044433596,0.007021935418001783,0.0005335807800292969,4.763982660342253e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2675276700178.689,-2429690639462.1,-2780912458234.3677,-2513136192104.132,-2531834805087.583,-2586170159013.374,125408667828.07619,39
0.04098811149597168,0.02186128105753275,0.00036745071411132814,1.7055445990695894e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-586342.7638164498,-1933752.092373661,-1361315.4334665556,-758162.0812135941,-1015626.2074942352,-1131039.7156728993,478837.5180425506,27
0.005415201187133789,1.517061746547053e-05,0.00035347938537597654,3.43057742092227e-06,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-12128199313678.658,-9318485813562.6,-8304334684143.802,-9573491284574.465,-13017146405266.734,-10468331500245.252,1792059424962.996,47
0.041089439392089845,0.022267382074434745,0.0003726959228515625,1.6099451779012786e-05,relu,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-586342.7638164498,-1933752.092373661,-1361315.4334665556,-758162.0812135941,-1015626.2074942352,-1131039.7156728993,478837.5180425506,27
0.031794166564941405,0.0003949269611407294,0.000389862060546875,1.0668159143280316e-05,relu,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-12128199313678.658,-9318485813562.6,-8304334684143.802,-9573491284574.465,-13017146405266.734,-10468331500245.252,1792059424962.996,47
0.20268969535827636,0.09971824025379247,0.0004371166229248047,4.3980208754035694e-05,relu,0.001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-906873.6751550003,-993350.9903508273,-812443.6714130801,-611403.3230991907,-861973.3390779477,-837208.9998192092,127630.94125312084,11
0.27429962158203125,0.002636747083612428,0.0004256248474121094,3.7461135626340826e-05,relu,0.001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-3426481996768.6426,-3218261542099.7715,-2226127218435.709,-1946763550368.474,-2208594596855.2993,-2605245780905.579,597474541695.0265,41
0.19935956001281738,0.09565699149685455,0.0003876209259033203,6.715451942156287e-06,relu,0.001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-906873.6751550003,-993350.9903508273,-812443.6714130801,-611403.3230991907,-861973.3390779477,-837208.9998192092,127630.94125312084,11
0.2745154857635498,0.0017486996423464456,0.00046796798706054686,3.360582395219625e-05,relu,0.001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-3426481996768.6426,-3218261542099.7715,-2226127218435.709,-1946763550368.474,-2208594596855.2993,-2605245780905.579,597474541695.0265,41
0.16772117614746093,0.14633804760242772,0.00040135383605957033,9.447635155529406e-06,relu,0.001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-464380.05058915564,-1647726.1691956415,-1464835.2570176804,-643611.5290246616,-866651.9470841745,-1017440.9905822627,461688.9085374605,21
0.3410199642181396,0.007240627762172841,0.0003604412078857422,2.2099434663165842e-05,relu,0.001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2675276699187.319,-2429690638905.132,-2780912457770.2207,-2513136192035.42,-2531834804617.2017,-2586170158503.0586,125408667730.80087,37
0.15876684188842774,0.1414125775557631,0.0003444671630859375,5.5901912268649464e-06,relu,0.001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-464380.05058915564,-1647726.1691956415,-1464835.2570176804,-643611.5290246616,-866651.9470841745,-1017440.9905822627,461688.9085374605,21
0.3407435894012451,0.006253056057257824,0.00039782524108886717,6.086272977696566e-05,relu,0.001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2675276699187.319,-2429690638905.132,-2780912457770.2207,-2513136192035.42,-2531834804617.2017,-2586170158503.0586,125408667730.80087,37
0.04011039733886719,0.02154070854978888,0.0003543376922607422,1.1945127721696651e-05,relu,0.001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-585996.1236490426,-1933471.256918457,-1361570.3315777057,-759030.8268344698,-1013408.2948818571,-1130695.3667723064,478819.4716409797,25
0.005322837829589843,3.105692794934356e-05,0.00034389495849609377,4.995651570781248e-06,relu,0.001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-12128199304141.617,-9318485806006.98,-8304334677350.109,-9573491277065.129,-13017146394396.549,-10468331491792.076,1792059423464.459,45
0.039974308013916014,0.021609222299339252,0.00034823417663574217,7.683739230712455e-06,relu,0.001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-585996.1236490426,-1933471.256918457,-1361570.3315777057,-759030.8268344698,-1013408.2948818571,-1130695.3667723064,478819.4716409797,25
0.029775047302246095,0.00013956915285128572,0.0003352165222167969,2.2110029448260555e-06,relu,0.001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-12128199304141.617,-9318485806006.98,-8304334677350.109,-9573491277065.129,-13017146394396.549,-10468331491792.076,1792059423464.459,45
1.0223140716552734,0.021858616283494146,0.0004291057586669922,3.307524844361778e-05,tanh,0.0001,"(50,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-3040509.927763889,-3024402.6395632154,-3730875.8655769276,-3660685.2267727475,-3463128.786182087,-3383920.489171773,300144.833500326,29
0.014714431762695313,0.0038032022895345633,0.0003347873687744141,5.925840905344385e-06,tanh,0.0001,"(50,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-774008.3179518412,-718699.2552296938,-304127.3206468756,-396537.41445762746,-595765.5832264387,-557827.5783024954,181345.76837519452,7
1.023584747314453,0.024498110708843175,0.00040721893310546875,1.7230258501433695e-05,tanh,0.0001,"(50,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-3040509.927763889,-3024402.6395632154,-3730875.8655769276,-3660685.2267727475,-3463128.786182087,-3383920.489171773,300144.833500326,29
0.036469030380249026,0.004127366007865419,0.00034618377685546875,1.1313206526312304e-05,tanh,0.0001,"(50,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-774008.3179518412,-718699.2552296938,-290137.34172706737,-396537.41445762746,-595765.5832264387,-555029.5825185337,185303.2847303004,6
1.1112881183624268,0.09547246714863399,0.00042905807495117185,3.732194415559445e-05,tanh,0.0001,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-652647.8473717787,-798079.8926850153,-963187.4127913471,-1572015.8578084994,-901912.2276032746,-977568.6476519831,315305.5467599292,19
0.017869043350219726,0.0028993090067616235,0.0003453731536865234,1.0274264088550328e-05,tanh,0.0001,"(100,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-367888.14785487845,-913484.3112954708,-504428.0079785,-359210.6226818035,-509645.0785730092,-530931.2336767323,201778.78711195776,2
1.109258222579956,0.06870763243906543,0.0006081104278564453,0.00039312896115981024,tanh,0.0001,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-652647.8473717787,-798079.8926850153,-963187.4127913471,-1572015.8578084994,-901912.2276032746,-977568.6476519831,315305.5467599292,19
0.06325597763061523,0.031142211777522754,0.0004017353057861328,4.617300651274423e-05,tanh,0.0001,"(100,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-367888.14785487845,-601450.9004269098,-504428.0079785,-359210.6226818035,-509645.0785730092,-468524.55150302016,92440.89024365545,1
1.1069630146026612,0.26812915356526057,0.00040426254272460935,1.0279795202191361e-05,tanh,0.0001,"(50, 50)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-3212538.0858773426,-6104142.815847611,-3935337.3588966173,-3881065.5807702313,-3598936.3427020884,-4146404.0368187777,1011881.5401152277,33
0.024599790573120117,0.010525630892309843,0.00034704208374023435,3.3534910149607166e-06,tanh,0.0001,"(50, 50)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-2315676.9138131994,-892236.32700674,-695784.5246586335,-478689.42342900805,-355033.50892333844,-947484.1395661838,708395.7538080247,15
1.1426692008972168,0.2796147716095678,0.00042057037353515625,1.4412003764827168e-05,tanh,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-3212538.0858773426,-6104142.815847611,-3935337.3588966173,-3881065.5807702313,-3598936.3427020884,-4146404.0368187777,1011881.5401152277,33
0.056593894958496094,0.008977477656776348,0.0003647804260253906,2.374486266535527e-05,tanh,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-844140.3559036446,-892236.32700674,-695784.5246586335,-544205.6759706712,-355033.50892333844,-666280.0784926055,197655.05492478606,9
0.9977527618408203,0.007006700681872006,0.00039005279541015625,1.344224162387868e-05,tanh,0.001,"(50,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-3040510.024544829,-3024402.720206169,-3730875.9627270703,-3660685.3201000104,-3463128.862626972,-3383920.5780410105,300144.8357414781,31
