mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.19919400215148925,0.0857787409549469,0.00039806365966796873,2.872745024261181e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-906873.6750230598,-993350.9878135715,-812443.6673871155,-611403.3296692541,-861973.3503878219,-837209.0020561644,127630.93888827828,11
0.27218127250671387,0.003188835220665797,0.0003963947296142578,4.575813446926211e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-3426481996681.807,-3218261542540.6045,-2226127218704.4604,-1946763550751.6902,-2208594596858.3203,-2605245781107.3765,597474541642.6384,43
0.18937978744506836,0.0930487718160062,0.00036983489990234376,3.0514374207160097e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-906873.6750230598,-993350.9878135715,-812443.6673871155,-611403.3296692541,-861973.3503878219,-837209.0020561644,127630.93888827828,11
0.2714226245880127,0.00267531631264981,0.00037894248962402346,3.229831772688062e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-3426481996681.807,-3218261542540.6045,-2226127218704.4604,-1946763550751.6902,-2208594596858.3203,-2605245781107.3765,597474541642.6384,43
0.16037936210632325,0.14447395581260236,0.0003582954406738281,1.5977531735757384e-05,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-464380.0513018751,-1647726.1686822677,-1464835.2533978815,-646500.076768592,-866651.9519398639,-1018018.700418096,461222.345872994,22
0.3390739917755127,0.004198243967175391,0.00039463043212890626,4.2556053417637505e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2675276700178.6855,-2429690639462.0967,-2780912458234.364,-2513136192104.1284,-2531834805087.58,-2586170159013.371,125408667828.07599,39
0.16013875007629394,0.14384931906602813,0.0003621101379394531,1.881930742129997e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-464380.0513018751,-1647726.1686822677,-1464835.2533978815,-646500.076768592,-866651.9519398639,-1018018.700418096,461222.345872994,22
0.338430118560791,0.0015639029096899421,0.0004105567932128906,4.025307796856733e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2675276700178.6855,-2429690639462.0967,-2780912458234.364,-2513136192104.1284,-2531834805087.58,-2586170159013.371,125408667828.07599,39
0.04010510444641113,0.021143259271421615,0.0003491878509521484,4.899139228455094e-06,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-586342.7638164493,-1933752.0923736605,-1361315.4334665567,-758162.0812135943,-1015626.207494235,-1131039.715672899,478837.5180425507,26
0.005310440063476562,1.5486273209216715e-05,0.0003360271453857422,1.3283146168884392e-06,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-12128199313678.654,-9318485813562.592,-8304334684143.8,-9573491284574.459,-13017146405266.734,-10468331500245.248,1792059424962.9973,47
