mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011328029632568359,0.002751482229859583,0.0003353595733642578,1.723131416387906e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-80.03206421638743,-17.597025042387475,-77.07730506109174,-20.575991340313603,-49.269283774152036,-48.910333886866454,26.628659324831833,29
0.26673235893249514,0.001676063270240205,0.00044841766357421874,2.7543032253109265e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-656846.6559950537,-582255.5972630678,-716639.9246747158,-606859.4707405305,-614875.6789276092,-635495.4655201954,47159.25350205282,43
0.011275053024291992,0.002931316101259096,0.00033974647521972656,1.2380330957461628e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-80.03206421638743,-17.597025042387475,-77.07730506109174,-20.575991340313603,-49.269283774152036,-48.910333886866454,26.628659324831833,29
0.2672118186950684,0.001250091454204749,0.0004357814788818359,2.8429813559801523e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-656846.6559950537,-582255.5972630678,-716639.9246747158,-606859.4707405305,-614875.6789276092,-635495.4655201954,47159.25350205282,43
0.014104795455932618,0.0076278369735241006,0.00034584999084472654,7.2779785264354375e-06,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-105.68591921732114,-85.46710996777742,-10.13487908087136,-123.65215043184,-11.123631311104134,-67.21273800178281,47.75496814472907,35
0.36522345542907714,0.02403876352343531,0.00040493011474609377,4.2513609450607444e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-522891.1357336276,-578343.9324972391,-582071.3206513537,-543745.6367132064,-791301.1607407177,-603670.6372672289,96363.39486665168,39
0.013985013961791993,0.007727728744337716,0.00033779144287109374,1.1844773222628278e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-105.68591921732114,-85.46710996777742,-10.13487908087136,-123.65215043184,-11.123631311104134,-67.21273800178281,47.75496814472907,35
0.4305415630340576,0.0630748022206885,0.00067901611328125,0.0003661295619098453,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-522891.1357336276,-578343.9324972391,-582071.3206513537,-543745.6367132064,-791301.1607407177,-603670.6372672289,96363.39486665168,39
0.0211428165435791,0.008526826986906391,0.0003386020660400391,2.8824007529654337e-06,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-11.319755813496293,-14.96102091431897,-6.359012182778975,-14.396260226938512,-21.603632327030915,-13.727936292912734,4.981849422624456,21
0.0060421466827392575,0.001323851990968961,0.00033297538757324217,5.570225466799655e-06,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-7421860.423863531,-10026.086627164876,-0.5881263568463035,-125814.45854048633,-5486.174904434541,-1512637.5464123948,2954982.582545472,47
