mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007515811920166015,0.0010931706930808968,0.0003623485565185547,7.1611352982237775e-06,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-7.636843179714238,-8.921492733742515,-7.473651045204005,-4.571773768865041,-4.982397445267455,-6.717231634558649,1.6666890429807228,29
0.2675947666168213,0.00198193759041068,0.00042862892150878905,4.206217304108706e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-34.60079332117614,-67.79755410070007,-37.20508874054033,-52.796728886216705,-47.063897347580046,-47.89281247924266,11.931801602878721,43
0.0071178913116455075,0.001205248299937325,0.0003605365753173828,1.4768409678505196e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-7.636843179714238,-8.921492733742515,-7.473651045204005,-4.571773768865041,-4.982397445267455,-6.717231634558649,1.6666890429807228,29
0.26820974349975585,0.001624315011127669,0.00044331550598144533,3.9367405480188764e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-34.60079332117614,-67.79755410070007,-37.20508874054033,-52.796728886216705,-47.063897347580046,-47.89281247924266,11.931801602878721,43
0.012761211395263672,0.0047190526254145505,0.00036554336547851564,8.386642520198974e-06,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-4.555634251395528,-7.643110531125338,-5.212813408824939,-4.074011455584652,-2.7374095591839667,-4.844595841222885,1.617702183326004,11
0.36589417457580564,0.03689863035466539,0.0004091739654541016,1.8416905456826536e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-454.3196264305226,-189.19917897581468,-159.29267140439967,-235.13874964029415,-195.67938945132954,-246.72592318047214,106.5730328370239,47
0.01249384880065918,0.0047668247408083906,0.00036101341247558595,8.939138912544625e-06,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-4.555634251395528,-7.643110531125338,-5.212813408824939,-4.074011455584652,-2.7374095591839667,-4.844595841222885,1.617702183326004,11
0.3619500160217285,0.031829268220830785,0.0004048347473144531,3.1597793376101065e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-454.3196264305226,-189.19917897581468,-159.29267140439967,-235.13874964029415,-195.67938945132954,-246.72592318047214,106.5730328370239,47
0.03307828903198242,0.04491210463816839,0.0003708839416503906,1.3187457275741616e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-5.79928422170894,-8.816223341129493,-8.085527927052544,-4.200749834593226,-3.550371538952186,-6.090431372687277,2.074508088890226,21
0.013855171203613282,0.0034500456010243302,0.00035777091979980467,2.3775006985317058e-06,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-0.8926535511505431,-10.4118276372493,-7.380689908074848,-7.971996243811502,-0.8416038308064746,-5.499754234218534,3.9166849902609555,17
