mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08217487335205079,0.10506567372554472,0.00045022964477539065,0.00012818138491969814,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-40.03903532715932,-91.79117720607358,-183.368047746124,-175.78381113162433,-55.0671301846093,-109.2098403191181,59.91823840388173,33
0.2694530487060547,0.003008262949509452,0.00041980743408203124,3.73459398076391e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-6722036.6102827955,-4608575.302201724,-7149313.837197064,-5704903.961487182,-7757838.93315603,-6388533.7288649585,1113607.5562908933,39
0.07348875999450684,0.0909176177206144,0.00035572052001953125,2.3711324030270427e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-40.03903532715932,-91.79117720607358,-183.368047746124,-175.78381113162433,-55.0671301846093,-109.2098403191181,59.91823840388173,33
0.26662335395812986,0.0017387157888899287,0.00035467147827148435,1.2705361648441062e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-6722036.6102827955,-4608575.302201724,-7149313.837197064,-5704903.961487182,-7757838.93315603,-6388533.7288649585,1113607.5562908933,39
0.028160953521728517,0.005391541478868882,0.00041260719299316404,6.654306535975183e-05,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-45.78894889357616,-49.73986896113632,-43.020744800675644,-69.77248109820518,-60.7099894544269,-53.80640664160403,9.997218093071387,15
0.3317007541656494,0.0022818049793984978,0.0004086017608642578,3.903295891921957e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-7719256.90288488,-6503154.977803389,-7352345.458050052,-7619948.898125151,-6961837.857764879,-7231308.818925669,448688.51713860966,43
0.027895164489746094,0.005540640533711177,0.00034265518188476564,6.936956441466648e-06,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-45.78894889357616,-49.73986896113632,-43.020744800675644,-69.77248109820518,-60.7099894544269,-53.80640664160403,9.997218093071387,15
0.3325010299682617,0.002297843081673375,0.0003982067108154297,3.065339799624462e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-7719256.90288488,-6503154.977803389,-7352345.458050052,-7619948.898125151,-6961837.857764879,-7231308.818925669,448688.51713860966,43
0.014800357818603515,0.003824709438204343,0.0003441810607910156,2.3582960164791563e-06,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-41.5383448096576,-72.22052761617333,-79.28978763277432,-106.27191795510971,-150.03604564949296,-89.87132473264158,36.46469420008797,28
0.09031305313110352,0.16787461515974308,0.0003609180450439453,3.511328594760028e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-68091.13869160214,-129.00333116780664,-69446.26615422116,-90594.19683001704,-82373357.17222422,-16520323.555446247,32926530.90275942,47
0.01493058204650879,0.00387069278341253,0.0003738880157470703,2.046592637729833e-05,relu,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-41.5383448096576,-72.22052761617333,-79.28978763277432,-106.27191795510971,-150.03604564949296,-89.87132473264158,36.46469420008797,28
0.1108128547668457,0.15961807335416545,0.0003585338592529297,2.5721552798853147e-05,relu,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-68091.13869160214,-129.00333116780664,-69446.26615422116,-90594.19683001704,-82373357.17222422,-16520323.555446247,32926530.90275942,47
0.07410202026367188,0.09270793458307204,0.0003347873687744141,5.602380044069105e-06,relu,0.001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-40.03833819002229,-91.79096089423115,-183.36803674107603,-175.78386603568086,-55.61535846887006,-109.31931206597608,59.81966504145819,35
0.2795083999633789,0.020888543222783156,0.00038537979125976565,4.6075548562105e-05,relu,0.001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-6722036.556129264,-4608575.2620879505,-7149313.812092676,-5704903.911582204,-7757838.888748269,-6388533.686128073,1113607.5576469044,37
0.07685160636901855,0.09212499544510186,0.0003609180450439453,4.133641891281055e-05,relu,0.001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-40.03833819002229,-91.79096089423115,-183.36803674107603,-175.78386603568086,-55.61535846887006,-109.31931206597608,59.81966504145819,35
0.2675175666809082,0.002700285601349931,0.0003628253936767578,3.670822397946057e-05,relu,0.001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-6722036.556129264,-4608575.2620879505,-7149313.812092676,-5704903.911582204,-7757838.888748269,-6388533.686128073,1113607.5576469044,37
