mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0615788459777832,0.0852496303482857,0.0003777980804443359,6.8697656492050185e-06,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-6392.256306231144,-3764.6021560482873,-121828.39489087558,-6914.908373978318,-8035.396547744511,-29387.111654975568,46241.89198152474,27
0.28157773017883303,0.013023012082795098,0.0005035400390625,5.056587712904149e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-6044296.947832953,-6671953.496943971,-2944731.068532384,-8291639.897398504,-7864504.2362616975,-6363425.129393903,1889748.7826822584,43
0.06195564270019531,0.08638056260473183,0.0004009246826171875,1.4089388243726842e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-6392.256306231144,-3764.6021560482873,-121828.39489087558,-6914.908373978318,-8035.396547744511,-29387.111654975568,46241.89198152474,27
0.2709197998046875,0.0028369325480868336,0.00048818588256835935,1.131280455766728e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-6044296.947832953,-6671953.496943971,-2944731.068532384,-8291639.897398504,-7864504.2362616975,-6363425.129393903,1889748.7826822584,43
0.02070279121398926,0.0006773743377285792,0.0003834247589111328,1.8586498326686503e-05,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-3840.1016896717233,-2233.455165818269,-118296.9096927608,-4828.0035405453555,-6177.86139628196,-27075.266297015623,45628.97962955031,11
0.3844970703125,0.0329876379077293,0.00047936439514160154,4.776413811339302e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-7143393.202322993,-7554663.345180938,-1996268.4814969217,-8005436.46614876,-9830704.7532725,-6906093.249684423,2620886.9355662004,47
0.02055068016052246,0.0005393979404400309,0.0003559589385986328,7.595044533111572e-06,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-3840.1016896717233,-2233.455165818269,-118296.9096927608,-4828.0035405453555,-6177.86139628196,-27075.266297015623,45628.97962955031,11
0.3621385097503662,0.019121412632418858,0.00047745704650878904,3.104301457146249e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-7143393.202322993,-7554663.345180938,-1996268.4814969217,-8005436.46614876,-9830704.7532725,-6906093.249684423,2620886.9355662004,47
0.016021537780761718,0.008815455177716413,0.00037713050842285155,2.226957158223416e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-2667.477578985178,-2507.0161955702306,-119729.05347710128,-6385.270154523007,-3473.713981156705,-26952.506277467277,46409.26029133922,6
0.00554656982421875,2.707200709323507e-05,0.00036301612854003904,4.617202162517626e-06,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-210250.06726116166,-272701.47933635593,-343660.42334708036,-288144.924486477,-245472.68839317668,-272045.9165648503,44526.64111944237,39
