mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09558219909667968,0.05582577985400392,0.00038318634033203126,2.1898924946771667e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-199.35121646110582,-53.610048326768684,-82.50839622910387,-120.94000071567307,-349.9911931716602,-161.28017098086235,106.28869323419907,21
0.2648506164550781,0.002393304263004665,0.0004108428955078125,4.92592402212474e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-53761.558035143404,-69772.83494902584,-84047.0103731517,-55584.043841855455,-77949.97675972088,-68223.08479177946,11969.059160831748,43
0.09526691436767579,0.05600860122105037,0.00038285255432128905,1.8426779547343485e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-199.35121646110582,-53.610048326768684,-82.50839622910387,-120.94000071567307,-349.9911931716602,-161.28017098086235,106.28869323419907,21
0.2640873908996582,0.002440572384833424,0.00040678977966308595,4.257341437300041e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-53761.558035143404,-69772.83494902584,-84047.0103731517,-55584.043841855455,-77949.97675972088,-68223.08479177946,11969.059160831748,43
0.019581317901611328,0.005035222767908519,0.00035762786865234375,9.8221510113907e-06,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-187.66077516394506,-118.90519409789309,-402.6190137772568,-139.8496861854317,-119.57515752000424,-193.72196534890617,107.398543474709,29
0.3551907539367676,0.020382490719571867,0.0004444599151611328,5.038217276835301e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-98301.71926209539,-91426.6480606096,-88428.53215332338,-55884.72224922302,-73043.47037849907,-81417.0184207501,15208.297652646112,47
0.0309783935546875,0.015032442186221125,0.0004492282867431641,4.8254742438371926e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-187.66077516394506,-118.90519409789309,-402.6190137772568,-139.8496861854317,-119.57515752000424,-193.72196534890617,107.398543474709,29
0.3453802585601807,0.016524231853613368,0.0005198478698730469,0.0001495125627918233,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-98301.71926209539,-91426.6480606096,-88428.53215332338,-55884.72224922302,-73043.47037849907,-81417.0184207501,15208.297652646112,47
0.020285701751708983,0.006543337767476356,0.00039973258972167967,1.5946335744260908e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-308.8135390707621,-66.93805732762566,-180.2348606558602,-160.90617086493356,-115.13429904732173,-166.40538539330063,81.26998416132696,23
0.012664079666137695,0.005885753760573618,0.0003802776336669922,1.7208471021484317e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-32.95200511555346,-12.032222512881415,-3289.587132031524,-6.621233717966524,-3251.450150396027,-1318.5285487547903,1593.8631283825064,40
0.02007269859313965,0.00634917437678817,0.0003753662109375,2.1181769963936257e-05,relu,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-308.8135390707621,-66.93805732762566,-180.2348606558602,-160.90617086493356,-115.13429904732173,-166.40538539330063,81.26998416132696,23
0.07792754173278808,0.04584273563983595,0.0003703117370605469,1.594975746000251e-05,relu,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-32.95200511555346,-12.032222512881415,-7.521931360345038,-6.621233717966524,-9.48576581330781,-13.722631704010851,9.792403746965618,2
0.08207025527954101,0.04006835002757322,0.0003653526306152344,7.710325620970067e-06,relu,0.001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-199.61737750305065,-54.12650706613128,-79.63141550870219,-120.77295642897315,-349.9912803594984,-160.82790737327113,106.6488282975891,19
0.26569762229919436,0.0016883987675281678,0.0004054069519042969,4.38694331937351e-05,relu,0.001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-53761.554197495214,-69772.83076701518,-84047.00635484066,-55584.04109978053,-77949.97265367329,-68223.08101456097,11969.058829140542,41
0.08402867317199707,0.04117465410524704,0.0003807544708251953,1.8544000289590814e-05,relu,0.001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-199.61737750305065,-54.12650706613128,-79.63141550870219,-120.77295642897315,-349.9912803594984,-160.82790737327113,106.6488282975891,19
0.2641866683959961,0.0027678757766036823,0.00038990974426269533,2.661998688841449e-05,relu,0.001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-53761.554197495214,-69772.83076701518,-84047.00635484066,-55584.04109978053,-77949.97265367329,-68223.08101456097,11969.058829140542,41
0.021070194244384766,0.005208042242413956,0.00037446022033691404,9.020418144083733e-06,relu,0.001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-187.66071670342868,-118.9052268529368,-402.6190742746397,-139.84958344342198,-119.57521740224037,-193.7219637353335,107.39856514412382,27
0.44076223373413087,0.02442884707636539,0.000521993637084961,7.263180087593579e-05,relu,0.001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-98301.71386621203,-91426.64324723923,-88428.52627749521,-55884.71792493337,-73043.46589058767,-81417.0134412935,15208.297225279479,45
0.030275774002075196,0.009224984824069946,0.00044112205505371095,5.325940206389827e-05,relu,0.001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-187.66071670342868,-118.9052268529368,-402.6190742746397,-139.84958344342198,-119.57521740224037,-193.7219637353335,107.39856514412382,27
0.455721378326416,0.02422782915539364,0.0006564617156982422,0.00019084394435229997,relu,0.001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-98301.71386621203,-91426.64324723923,-88428.52627749521,-55884.71792493337,-73043.46589058767,-81417.0134412935,15208.297225279479,45
