mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03005385398864746,0.0007305481407459553,0.0016050338745117188,3.125448422929442e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-9.687946101964808,-7.074746358546298,-9.875985131768763,-8.275748511621552,-7.239220693278405,-8.430729359435965,1.1791318881766957,43
0.012831592559814453,0.0006038927265669698,0.0015947341918945313,4.5860084830866606e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-6.912617351192666,-5.715175164633814,-8.276152009426323,-8.985672200709422,-6.368416643787386,-7.251606673949922,1.2093168789596422,15
0.03329434394836426,0.0013196694588380328,0.001645040512084961,6.508545991740165e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-9.687946101964808,-7.074746358546298,-9.875985131768763,-8.275748511621552,-7.239220693278405,-8.430729359435965,1.1791318881766957,43
0.06772751808166504,0.03834886486092494,0.001672220230102539,6.100486212179491e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-6.912617351192666,-5.715175164633814,-8.276152009426323,-8.985672200709422,-6.368416643787386,-7.251606673949922,1.2093168789596422,15
0.035679292678833005,0.003111535496485597,0.001865243911743164,0.00019025220599151846,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-11.109146078982457,-6.705969657602729,-10.639916316423621,-9.365371072485706,-9.49714954758234,-9.46351053461537,1.5301530337827245,47
0.021439409255981444,0.0012951639716643915,0.0018278121948242187,0.00012500316797000872,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-6.962628636437261,-5.425209263857093,-8.302965016682696,-8.23183115643708,-7.592086912093686,-7.302944197101563,1.0571829825351136,21
0.033391380310058595,0.003481444326499638,0.0016792774200439452,2.1815286959451424e-05,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-11.109146078982457,-6.705969657602729,-10.639916316423621,-9.365371072485706,-9.49714954758234,-9.46351053461537,1.5301530337827245,47
0.060178613662719725,0.00297384809905102,0.0016796588897705078,3.211667290751366e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-6.962628636437261,-5.425209263857093,-8.302965016682696,-8.23183115643708,-7.592086912093686,-7.302944197101563,1.0571829825351136,21
0.025380802154541016,0.0034613527642613664,0.0015944957733154297,3.269844536034898e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-9.756853244464512,-7.572752145344157,-10.051136871496015,-7.264571051871727,-7.163608925889491,-8.36178444781318,1.2698190698444651,39
0.015441513061523438,0.0005547114233049572,0.0015512943267822266,2.541528633755009e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-6.840022089242694,-5.465189913862498,-7.9962085685839694,-8.232778077012568,-6.569149762617898,-7.020669682263926,1.0076610521351275,1
