mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0007381916046142578,0.00010461761610128043,0.00023622512817382811,5.701732341198424e-05,squared_error,,1,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-174714.58823529413,-311063.32352941175,-144685.57575757575,-256465.72727272726,-313501.30303030304,-240086.1035650624,69383.78061427693,62
0.00039958953857421875,9.456535652754827e-06,0.00019974708557128905,1.9625774028069188e-06,squared_error,,1,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-194581.85294117648,-310455.35294117645,-248129.9393939394,-291607.6060606061,-462609.51515151514,-301476.85329768265,89904.5989226882,104
0.0006092548370361328,1.9297830138682745e-05,0.00019593238830566405,6.97552625576391e-07,squared_error,,1,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",-173955.82026143788,-312949.11151960783,-183316.60227272726,-214139.66540404042,-310167.24200336705,-238905.68829223613,60799.05474915409,60
0.00035033226013183596,4.712251388008288e-06,0.00019659996032714844,8.064048063892252e-07,squared_error,,1,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",-139757.14460784313,-310221.9679330065,-363706.0854377104,-199258.37415824915,-261223.68371212122,-254833.4511697861,79111.46423924717,68
0.0005598068237304688,2.3856635282494348e-05,0.00019516944885253907,8.064048063892252e-07,squared_error,,1,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",-161685.96309458968,-303533.7266378681,-182323.03183848597,-216138.15338194874,-327636.7658078279,-238263.52815214405,65925.36571928761,58
0.000318145751953125,6.467430814051045e-06,0.00019707679748535157,2.6830301087637327e-06,squared_error,,1,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",-171876.30460841744,-290532.74797745026,-186124.19019289644,-212403.31239024788,-223199.9075786684,-216827.29254953604,41124.07517209458,45
0.0006151199340820312,2.1405155766442272e-05,0.00021486282348632814,2.5472835581445757e-05,squared_error,,2,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-159420.95996732023,-338188.308006536,-155648.02609427608,-222239.4276094276,-239958.1346801347,-223090.97127153893,66535.77149956657,47
0.0003486156463623047,2.263846868604511e-06,0.0002026081085205078,1.2194358685058998e-06,squared_error,,2,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-164812.45996732026,-371932.87254901964,-198120.0589225589,-229046.32070707067,-394236.8695286195,-271629.71633491776,93509.54896132858,78
0.0006049156188964843,4.381077465876472e-05,0.00020546913146972655,8.4299091645775e-06,squared_error,,2,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",-174303.16156045746,-302639.058006536,-134756.13173400672,-224309.79692760942,-232209.7337962963,-213643.57640498114,56832.32068614545,40
0.0003453731536865234,7.665963746004657e-06,0.00020279884338378907,6.2401935592101565e-06,squared_error,,2,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",-238171.35600490196,-318426.63745915034,-262659.45370370377,-212687.2072811448,-397186.5189393939,-285826.234677659,65758.50318078771,92
