mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04376697540283203,0.04850521647924066,0.00034723281860351565,1.1602536717585513e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-901.0532941700006,-683.99461065426,-250.9333692869771,-568.3186550404045,-781.6940866826452,-637.1988031668575,222.09609955853253,19
0.26626133918762207,0.0030361378696977903,0.0003920555114746094,2.6443877247458293e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-681260.3328086252,-764301.5764498315,-596448.1334852244,-1027110.8203979651,-1327967.0462224956,-879417.5818728283,266683.1878677174,39
0.04333562850952148,0.04874168956690623,0.0003393650054931641,5.784488748215008e-06,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-901.0532941700006,-683.99461065426,-250.9333692869771,-568.3186550404045,-781.6940866826452,-637.1988031668575,222.09609955853253,19
0.2661536693572998,0.0025544360815039175,0.00035347938537597654,2.885341604885592e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-681260.3328086252,-764301.5764498315,-596448.1334852244,-1027110.8203979651,-1327967.0462224956,-879417.5818728283,266683.1878677174,39
0.018438053131103516,0.003794051977089081,0.00034017562866210936,2.8145512701747333e-06,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-804.6062722776851,-654.3990238247641,-665.7326853788662,-689.5336161654811,-993.31920832978,-761.5181611953152,127.60834805045302,25
0.35546135902404785,0.031070289965371492,0.0003696441650390625,3.667265272559589e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-901638.7680497866,-1043420.3446162429,-872906.8403246228,-1114933.7611122217,-1075262.6738327788,-1001632.4775871305,96513.05001306921,43
0.016976070404052735,0.003231982051401238,0.0003337860107421875,6.167626439859399e-06,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-804.6062722776851,-654.3990238247641,-665.7326853788662,-689.5336161654811,-993.31920832978,-761.5181611953152,127.60834805045302,25
0.3517444133758545,0.03782012698074241,0.00035805702209472655,2.0956654052248427e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-901638.7680497866,-1043420.3446162429,-872906.8403246228,-1114933.7611122217,-1075262.6738327788,-1001632.4775871305,96513.05001306921,43
0.020345115661621095,0.006365504565503596,0.000331878662109375,3.9522868700222205e-06,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-335.5820496732549,-706.2787544655522,-361.9570636042754,-825.5053002276533,-815.2193787221098,-608.908509338569,216.63410598922934,17
0.004982423782348633,0.0002832195726424884,0.0003314018249511719,3.421950362779456e-06,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-38667.968257692264,-15459056.718804266,-28871.992791657507,-20252077.725289084,-20290648.125610705,-11213864.506150682,9296107.047317319,48
