Wavenumber (cm⁻¹),Importance,target_variable,Sample Type,Train Percentage,Model,Search Type,RMSE,MAE,MAPE,R²
1218.799154708009,0.002673098023464894,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1216.870675032838,0.0026446256559333418,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1643.064683245607,0.002614780561747658,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1214.942195357667,0.0025712822446340568,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1220.72763438318,0.0025701295532904902,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1213.013715682496,0.002490410234988966,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1644.993162920778,0.0024291049536355252,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1211.085236007325,0.00242586418709205,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1172.515642503907,0.0024070096800886983,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1170.587162828736,0.002398407307253722,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1174.444122179078,0.0023959424253429304,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1168.658683153565,0.002386347129447412,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1166.730203478395,0.0023835149151039264,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1093.447975821901,0.0023828617349659414,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1209.156756332154,0.0023782607506533573,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1091.51949614673,0.002374119040249987,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1116.589731923951,0.002373431250121739,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1095.376455497071,0.0023691854513107355,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1118.518211599122,0.002367053625858742,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1164.801723803224,0.0023660925354454243,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273
1602.566610067018,0.0149474315056071,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
1604.495089742189,0.01385761853017594,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
1226.513073408692,0.01072253105349186,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
1228.441553083863,0.010418776522562548,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
1224.584593733522,0.010412333194435037,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
1039.450544917115,0.008966711405982802,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
1222.656114058351,0.00846942182412775,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
1054.878382318482,0.007307623449969679,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
1089.591016471559,0.007007844338435743,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
1606.42356941736,0.00685041840934447,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
1037.522065241944,0.0058904139104358055,anaerobicthreshold_absolute,CAPILAR,0.8,MLP Regressor,GridSearchCV,448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686
