mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,Sample Type,Train Percentage,Model,param_criterion,param_max_depth,param_max_features,param_n_estimators,criterion,max_depth,max_features,n_estimators,param_min_samples_leaf,param_min_samples_split,param_splitter,min_samples_leaf,min_samples_split,splitter,param_colsample_bytree,param_subsample,colsample_bytree,subsample,param_learning_rate_init,param_max_iter,learning_rate_init,max_iter,param_bootstrap,bootstrap,param_gamma,param_min_child_weight,gamma,min_child_weight
0.09605426788330078,0.07645872121683556,0.00041327476501464846,4.7415119906344517e-05,relu,0.0001,"(50,)",constant,adam,-113.51263748325206,-125.42758415214138,-387.8773119367624,-265.0272225604296,-117.69772827477144,-201.90849688147136,108.92473109849473,31,relu,0.0001,"(50,)",constant,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3016101837158203,0.023025309158968294,0.0005705833435058593,0.00022407675503330302,relu,0.0001,"(50,)",constant,sgd,-23287851.236115698,-16306823.098766875,-25068522.153609514,-20396223.854620613,-26946771.727417257,-22401238.414105993,3734282.778933131,39,relu,0.0001,"(50,)",constant,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0977808952331543,0.07367154560668689,0.00040760040283203123,3.416816909030687e-05,relu,0.0001,"(50,)",adaptive,adam,-113.51263748325206,-125.42758415214138,-387.8773119367624,-265.0272225604296,-117.69772827477144,-201.90849688147136,108.92473109849473,31,relu,0.0001,"(50,)",adaptive,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2715177059173584,0.0013967688626593377,0.00040326118469238283,1.9941601324948684e-05,relu,0.0001,"(50,)",adaptive,sgd,-23287851.236115698,-16306823.098766875,-25068522.153609514,-20396223.854620613,-26946771.727417257,-22401238.414105993,3734282.778933131,39,relu,0.0001,"(50,)",adaptive,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04068713188171387,0.03716193531583125,0.0003474235534667969,3.688636704600089e-06,relu,0.0001,"(100,)",constant,adam,-160.49877645908754,-100.95580492126616,-184.80365926157884,-152.60211159961327,-114.95277090756169,-142.7626246298215,30.659528100234155,16,relu,0.0001,"(100,)",constant,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.34186997413635256,0.00881541159994744,0.00048379898071289064,6.666524548188833e-05,relu,0.0001,"(100,)",constant,sgd,-26730532.06528785,-22998180.0588409,-25411351.01895578,-26861204.951085813,-23893399.722036667,-25178933.5632414,1529692.5123351528,43,relu,0.0001,"(100,)",constant,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04154963493347168,0.03830513234900389,0.00036420822143554685,1.551854059125579e-05,relu,0.0001,"(100,)",adaptive,adam,-160.49877645908754,-100.95580492126616,-184.80365926157884,-152.60211159961327,-114.95277090756169,-142.7626246298215,30.659528100234155,16,relu,0.0001,"(100,)",adaptive,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3439025402069092,0.011540973335823601,0.00046782493591308595,3.18980180448243e-05,relu,0.0001,"(100,)",adaptive,sgd,-26730532.06528785,-22998180.0588409,-25411351.01895578,-26861204.951085813,-23893399.722036667,-25178933.5632414,1529692.5123351528,43,relu,0.0001,"(100,)",adaptive,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.014702653884887696,0.003803669572278064,0.00035414695739746096,6.405611092665996e-06,relu,0.0001,"(50, 50)",constant,adam,-144.26549392881762,-152.14830933497998,-176.67333206401324,-178.3294702140776,-308.7484937696788,-192.03301986231344,59.86440645208167,29,relu,0.0001,"(50, 50)",constant,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005498933792114258,0.0002907469517623459,0.0003459453582763672,5.401114936692856e-06,relu,0.0001,"(50, 50)",constant,sgd,-410079660.80165577,-431647.31454672886,-469227450.27356595,-427417.9135039357,-183114.81280267995,-176069858.22321498,216026459.47023678,47,relu,0.0001,"(50, 50)",constant,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
