Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
CAPILAR,0.8,MLP Regressor (GridSearchCV),2.882528299450236,2.3510835167446045,4.943533655198573,-0.4477080019067714,tanh,0.001,"(50, 50)",constant,adam,hematocrit,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),3.990827673260655,2.6558718828441026,5.715182198385808,-1.7749794131981824,tanh,0.0001,"(50, 50)",adaptive,sgd,hematocrit,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),2.882528299450239,2.3510835167446085,4.943533655198583,-0.4477080019067752,tanh,0.001,"(50, 50)",constant,adam,hematocrit,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),2.5108172828110615,2.120593067305502,4.532025569866712,-0.09840887740256221,relu,0.001,"(50, 50)",adaptive,sgd,hematocrit,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),8.236596050174368,6.829100537477042,17.595382994434488,-1.4766731462515508,tanh,0.001,"(50, 50)",constant,sgd,hematocrit,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),7.260311903266845,4.47551989474615,12.914112300931208,-0.9243484639695616,tanh,0.001,"(50, 50)",constant,sgd,hematocrit,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),8.236596050176532,6.8291005374808895,17.595382994442588,-1.476673146252852,tanh,0.001,"(50, 50)",constant,sgd,hematocrit,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),5.440629418887074,2.8657046076703323,9.33921219150121,-0.08061614483077628,relu,0.001,"(100,)",constant,sgd,hematocrit,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),2.7234611629128653,2.280176486333817,5.017816113059039,-0.0026253883062352656,relu,0.001,"(50, 50)",adaptive,sgd,hematocrit,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),6.258667409047209,4.873181393235224,10.608712551353223,-4.294928149659364,tanh,0.0001,"(50, 50)",constant,sgd,hematocrit,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),2.7234611629128653,2.280176486333817,5.017816113059039,-0.0026253883062352656,relu,0.001,"(50, 50)",adaptive,sgd,hematocrit,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),2.9305861220320404,2.3336778795150956,5.004565777748813,-0.16092804243651715,tanh,0.0001,"(50, 50)",constant,sgd,hematocrit,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),7.7415010887491285,5.528017859092993,12.26100859469322,-6.201602896835623,tanh,0.0001,"(50, 50)",constant,sgd,hematocrit,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),5.79169346523127,4.117346530288377,9.179141385779538,-3.0307879168099268,tanh,0.0001,"(50, 50)",adaptive,sgd,hematocrit,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),4.305459004949825,3.152728235776017,7.027340270900233,-1.2275000818089126,tanh,0.0001,"(50, 50)",adaptive,sgd,hematocrit,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),2.899600881755972,2.2309297419493053,5.044195271395643,-0.010311411007737359,relu,0.001,"(100,)",constant,sgd,hematocrit,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),8.157484125478513,5.329682658509147,14.587559359270319,-1.1270035410547465,tanh,0.001,"(50, 50)",adaptive,sgd,hematocrit,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),6.41009328811013,3.7227413824725644,11.18921189864647,-0.31336197499549434,tanh,0.0001,"(50, 50)",constant,sgd,hematocrit,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),8.157484125468214,5.329682658612599,14.587559359454595,-1.1270035410493753,tanh,0.001,"(50, 50)",adaptive,sgd,hematocrit,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),5.606496339134977,3.005853773302593,9.61853336675696,-0.0047056027082965635,relu,0.0001,"(50, 50)",constant,sgd,hematocrit,,,,,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),2.6055999770524343,2.2151018814887324,4.714170701966709,-0.1829034513351575,,,,,,hematocrit,squared_error,4.0,sqrt,200.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),2.82959258172823,2.3229857142857133,4.906384775350003,-0.3950238478841557,,,,,,hematocrit,absolute_error,4.0,log2,200.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),2.6055999770524343,2.2151018814887324,4.714170701966709,-0.1829034513351575,,,,,,hematocrit,squared_error,4.0,sqrt,200.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),2.82959258172823,2.3229857142857133,4.906384775350003,-0.3950238478841557,,,,,,hematocrit,absolute_error,4.0,log2,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),5.281253135003744,2.5970197368421064,8.699533046605936,-0.01823290830928115,,,,,,hematocrit,absolute_error,12.0,sqrt,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),5.3140405931820744,2.6509276315789476,8.798168844313665,-0.030915088262778667,,,,,,hematocrit,absolute_error,8.0,sqrt,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),5.281253135003744,2.5970197368421064,8.699533046605936,-0.01823290830928115,,,,,,hematocrit,absolute_error,12.0,sqrt,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),5.3140405931820744,2.6509276315789476,8.798168844313665,-0.030915088262778667,,,,,,hematocrit,absolute_error,8.0,sqrt,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),3.0086659229421318,2.3425078449470917,5.112284203626754,-0.223613496735388,,,,,,hematocrit,squared_error,12.0,sqrt,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),2.5839548088051694,2.0799342105263148,4.523590182891679,0.09746063651128811,,,,,,hematocrit,absolute_error,8.0,log2,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),3.0086659229421318,2.3425078449470917,5.112284203626754,-0.223613496735388,,,,,,hematocrit,squared_error,12.0,sqrt,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),2.5839548088051694,2.0799342105263148,4.523590182891679,0.09746063651128811,,,,,,hematocrit,absolute_error,8.0,log2,200.0,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),2.8411613975284045,2.21686111111111,4.959432576231835,0.03000248299745445,,,,,,hematocrit,absolute_error,4.0,sqrt,200.0,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),3.267206707061347,2.4781388888888864,5.511692504879318,-0.28272050068844523,,,,,,hematocrit,absolute_error,4.0,log2,100.0,,,,,,,,,,
