Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.8483797272336566,0.7198615311801903,4.810190243211539,-0.11099638587201932,tanh,0.0001,"(50, 50)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.806290852729245,0.6070976158837948,4.034622317127696,-0.003495773155501647,tanh,0.001,"(50, 50)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.8483797272442325,0.7198615311896792,4.810190243251752,-0.1109963858997185,tanh,0.0001,"(50, 50)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.8056294812968462,0.6137943841318042,4.112523503059836,-0.0018501852468528757,tanh,0.001,"(50, 50)",constant,adam,hemoglobine,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.247514610696455,1.0224262928414685,6.837086658667049,-1.5839966635560967,tanh,0.001,"(50, 50)",adaptive,sgd,hemoglobine,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.6863704735525973,1.3655618094613469,9.183801904869963,-3.7217897634847494,tanh,0.001,"(50, 50)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.2475146106964523,1.0224262928414523,6.837086658666926,-1.5839966635560847,tanh,0.001,"(50, 50)",adaptive,sgd,hemoglobine,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),0.7967233133146974,0.627516255867244,4.151679891897621,-0.053939588715296916,relu,0.001,"(100,)",adaptive,sgd,hemoglobine,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),1.5292058338456893,1.1701814854263963,7.87717212513608,-2.0363120769065355,tanh,0.001,"(50, 50)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),0.9028438750826902,0.7132200793781187,4.774241890022814,-0.058375619312917904,tanh,0.001,"(50, 50)",adaptive,sgd,hemoglobine,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),1.5292058338457062,1.1701814854263644,7.87717212513587,-2.0363120769066017,tanh,0.001,"(50, 50)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),0.9766707541630064,0.7873320733034177,5.140111146210559,-0.23854240676774574,tanh,0.0001,"(100,)",adaptive,sgd,hemoglobine,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.7197854552088059,1.2842228513088634,8.700638079971009,-4.528036038106332,tanh,0.001,"(50, 50)",adaptive,sgd,hemoglobine,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.3047041097961605,0.9809399927676029,6.532545443924227,-2.181605898309084,tanh,0.001,"(50, 50)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.719785455208772,1.2842228513088456,8.700638079970899,-4.528036038106113,tanh,0.001,"(50, 50)",adaptive,sgd,hemoglobine,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.061806991235085,0.8768941223301191,5.693840845398788,-1.1072374856676999,tanh,0.001,"(100,)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.8052429794358003,1.418073849341022,9.461102062968786,-4.279661030113667,tanh,0.001,"(50, 50)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.1341630121818622,0.9362062687838106,6.177983466376022,-1.0839422064176358,tanh,0.001,"(50, 50)",adaptive,sgd,hemoglobine,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.8052429794357916,1.4180738493410283,9.461102062968825,-4.2796610301136155,tanh,0.001,"(50, 50)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),0.78902461548714,0.6467377404590681,4.2703910586451075,-0.00859268852274897,relu,0.001,"(50, 50)",constant,sgd,hemoglobine,,,,,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),0.7437832562700588,0.6103461538461539,4.052092373864078,0.1460648768324434,,,,,,hemoglobine,absolute_error,12.0,sqrt,100.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),0.745567619022753,0.5818737179487182,3.8850495345105727,0.1419627200396546,,,,,,hemoglobine,absolute_error,4.0,log2,200.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),0.7437832562700588,0.6103461538461539,4.052092373864078,0.1460648768324434,,,,,,hemoglobine,absolute_error,12.0,sqrt,100.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),0.745567619022753,0.5818737179487182,3.8850495345105727,0.1419627200396546,,,,,,hemoglobine,absolute_error,4.0,log2,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),0.741164205435681,0.621396650347102,4.160605431395817,0.08792712317491691,,,,,,hemoglobine,squared_error,12.0,sqrt,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),0.9816801078593098,0.7008119047619051,4.656132581288512,-0.6000761385872162,,,,,,hemoglobine,absolute_error,12.0,log2,100.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),0.741164205435681,0.621396650347102,4.160605431395817,0.08792712317491691,,,,,,hemoglobine,squared_error,12.0,sqrt,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),0.9816801078593098,0.7008119047619051,4.656132581288512,-0.6000761385872162,,,,,,hemoglobine,absolute_error,12.0,log2,100.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),0.8258678649731622,0.6906420597282258,4.6357933933658195,0.11440399198943807,,,,,,hemoglobine,squared_error,8.0,sqrt,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),0.8488134234734444,0.6708684093601723,4.503517558232412,0.06451033746765955,,,,,,hemoglobine,squared_error,8.0,log2,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),0.8258678649731622,0.6906420597282258,4.6357933933658195,0.11440399198943807,,,,,,hemoglobine,squared_error,8.0,sqrt,200.0,,,,,,,,,,
