Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
CAPILAR,0.8,MLP Regressor (GridSearchCV),2.8322250343530295,1.3217407061201283,29.973318403342848,-0.00997226190516165,tanh,0.0001,"(50, 50)",adaptive,sgd,neutrophiles,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),2.736673610639267,1.2829867480604278,30.936784798725903,0.057025517421047556,tanh,0.001,"(50, 50)",constant,sgd,neutrophiles,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),2.832225034353021,1.3217407061201203,29.973318403342635,-0.009972261905155655,tanh,0.0001,"(50, 50)",adaptive,sgd,neutrophiles,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),2.8561345889254115,1.3792121142986433,30.98130903827039,-0.027096547504722013,tanh,0.001,"(50,)",adaptive,sgd,neutrophiles,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.524052266470447,1.169460922158493,36.68751489398974,-0.6422190199881126,tanh,0.001,"(50, 50)",adaptive,sgd,neutrophiles,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.6235744121615672,1.2838934746144819,48.3627541742739,-0.8636989124448506,tanh,0.001,"(50, 50)",constant,sgd,neutrophiles,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.5240522664704563,1.1694609221584984,36.68751489398984,-0.6422190199881326,tanh,0.001,"(50, 50)",adaptive,sgd,neutrophiles,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.1905083148526585,0.9297658109507403,34.313467467603104,-0.002065756976965538,tanh,0.001,"(100,)",constant,sgd,neutrophiles,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),1.2865007905528187,0.9733616400324634,37.04815782718116,-0.0038245096581666083,relu,0.001,"(50, 50)",adaptive,sgd,neutrophiles,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),1.7387751871001476,1.376486434688081,53.863072319977825,-0.8336842239561353,tanh,0.001,"(50, 50)",constant,sgd,neutrophiles,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),1.2865007905528183,0.9733616400324634,37.04815782718115,-0.003824509658166164,relu,0.001,"(50, 50)",adaptive,sgd,neutrophiles,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),1.351029130171977,1.026396914765174,39.686868868588256,-0.10704966995638876,relu,0.0001,"(50,)",constant,sgd,neutrophiles,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.3577102550085212,1.001749348742694,32.82442779877701,-0.2620978548291686,tanh,0.001,"(50, 50)",constant,sgd,neutrophiles,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.5330975403203233,1.1828720093721246,42.28779675999661,-0.6092310574894708,tanh,0.001,"(50, 50)",constant,sgd,neutrophiles,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.3577102550085258,1.0017493487426978,32.82442779877714,-0.26209785482917725,tanh,0.001,"(50, 50)",constant,sgd,neutrophiles,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.210004180228826,0.9911364365262916,31.26274480808453,-0.002426579026825193,tanh,0.0001,"(100,)",adaptive,sgd,neutrophiles,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.8293407305793625,1.5267540904977948,37.158083717804004,-1.1687705854761572,relu,0.0001,"(50, 50)",adaptive,sgd,neutrophiles,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.2463340215458536,0.9700080229588783,29.030059621986144,-0.0066843257498903075,tanh,0.001,"(50, 50)",constant,sgd,neutrophiles,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.8293407305793714,1.5267540904978245,37.15808371780492,-1.168770585476178,relu,0.0001,"(50, 50)",adaptive,sgd,neutrophiles,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.4107563768117528,1.1038175738231093,27.96047493919285,-0.28981804971842684,relu,0.001,"(100,)",constant,adam,neutrophiles,,,,,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),2.85623292948329,1.327624035476635,29.951966345968668,-0.02716727735529867,,,,,,neutrophiles,squared_error,12.0,sqrt,100.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),2.803033066688425,1.2454435897435896,26.80935811567232,0.010740170933552062,,,,,,neutrophiles,absolute_error,4.0,sqrt,100.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),2.85623292948329,1.327624035476635,29.951966345968668,-0.02716727735529867,,,,,,neutrophiles,squared_error,12.0,sqrt,100.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),2.803033066688425,1.2454435897435896,26.80935811567232,0.010740170933552062,,,,,,neutrophiles,absolute_error,4.0,sqrt,100.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),1.396368737256642,1.0878398727692573,39.602585638459075,-0.37857878081708707,,,,,,neutrophiles,squared_error,8.0,sqrt,100.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),1.2647219051087497,0.9115404761904762,36.58706808369189,-0.13089279407710142,,,,,,neutrophiles,absolute_error,4.0,sqrt,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),1.396368737256642,1.0878398727692573,39.602585638459075,-0.37857878081708707,,,,,,neutrophiles,squared_error,8.0,sqrt,100.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),1.2647219051087497,0.9115404761904762,36.58706808369189,-0.13089279407710142,,,,,,neutrophiles,absolute_error,4.0,sqrt,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),1.568982707118882,1.2202690476190474,46.447913671621535,-0.49304877109430256,,,,,,neutrophiles,absolute_error,12.0,sqrt,100.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),2.0081437849372605,1.3764297619047627,51.34505028523916,-1.4458357656485763,,,,,,neutrophiles,absolute_error,4.0,log2,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),1.568982707118882,1.2202690476190474,46.447913671621535,-0.49304877109430256,,,,,,neutrophiles,absolute_error,12.0,sqrt,100.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),2.0081437849372605,1.3764297619047627,51.34505028523916,-1.4458357656485763,,,,,,neutrophiles,absolute_error,4.0,log2,200.0,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),1.364623794258863,1.0862159269915883,37.08549064174606,-0.27498393057482606,,,,,,neutrophiles,squared_error,12.0,sqrt,100.0,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),1.2548572297775549,0.9714124999999998,33.08928614542495,-0.07812090279217498,,,,,,neutrophiles,absolute_error,4.0,log2,100.0,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),1.364623794258863,1.0862159269915883,37.08549064174606,-0.27498393057482606,,,,,,neutrophiles,squared_error,12.0,sqrt,100.0,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),1.2548572297775549,0.9714124999999998,33.08928614542495,-0.07812090279217498,,,,,,neutrophiles,absolute_error,4.0,log2,100.0,,,,,,,,,,
URINE,0.8,Random Forest Regressor (GridSearchCV),1.3277879142394364,1.0638502958308687,29.32545447004598,-0.14256740059485074,,,,,,neutrophiles,squared_error,4.0,sqrt,100.0,,,,,,,,,,
URINE,0.8,Random Forest Regressor (GridSearchCV),1.1256337186166925,0.9288302631578953,26.261260663268448,0.17885737975764116,,,,,,neutrophiles,absolute_error,4.0,log2,100.0,,,,,,,,,,
URINE,0.8,Random Forest Regressor (GridSearchCV),1.3277879142394364,1.0638502958308687,29.32545447004598,-0.14256740059485074,,,,,,neutrophiles,squared_error,4.0,sqrt,100.0,,,,,,,,,,
URINE,0.8,Random Forest Regressor (GridSearchCV),1.1256337186166925,0.9288302631578953,26.261260663268448,0.17885737975764116,,,,,,neutrophiles,absolute_error,4.0,log2,100.0,,,,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (GridSearchCV),3.128053277630084,1.58448717948718,36.36015286616396,-0.23197590730085516,,,,,,neutrophiles,absolute_error,,,,4.0,10.0,random,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (GridSearchCV),3.0410102909631185,1.4605128205128206,32.75117562335149,-0.1643665260010485,,,,,,neutrophiles,absolute_error,,,,4.0,2.0,random,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (GridSearchCV),3.128053277630084,1.58448717948718,36.36015286616396,-0.23197590730085516,,,,,,neutrophiles,absolute_error,,,,4.0,10.0,random,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (GridSearchCV),3.0410102909631185,1.4605128205128206,32.75117562335149,-0.1643665260010485,,,,,,neutrophiles,absolute_error,,,,4.0,2.0,random,,,,,,,
PLASMA,0.8,Decision Tree Regressor (GridSearchCV),1.5451983999597252,1.221904761904762,43.25769725895294,-0.688106550234513,,,,,,neutrophiles,absolute_error,10.0,,,2.0,5.0,random,,,,,,,
PLASMA,0.8,Decision Tree Regressor (GridSearchCV),1.608120945759515,1.3303571428571428,48.26672799340066,-0.8283897283542336,,,,,,neutrophiles,absolute_error,,,,4.0,10.0,best,,,,,,,
PLASMA,0.8,Decision Tree Regressor (GridSearchCV),1.5451983999597252,1.221904761904762,43.25769725895294,-0.688106550234513,,,,,,neutrophiles,absolute_error,10.0,,,2.0,5.0,random,,,,,,,
PLASMA,0.8,Decision Tree Regressor (GridSearchCV),1.608120945759515,1.3303571428571428,48.26672799340066,-0.8283897283542336,,,,,,neutrophiles,absolute_error,,,,4.0,10.0,best,,,,,,,
SALIVA,0.8,Decision Tree Regressor (GridSearchCV),1.8207048281993903,1.2425,45.13345003391556,-1.0105587510963328,,,,,,neutrophiles,absolute_error,,,,4.0,2.0,random,,,,,,,
SALIVA,0.8,Decision Tree Regressor (GridSearchCV),1.7872524803651637,1.2819047619047619,45.69786332844982,-0.9373562913491962,,,,,,neutrophiles,absolute_error,,,,2.0,10.0,random,,,,,,,
SALIVA,0.8,Decision Tree Regressor (GridSearchCV),1.8207048281993903,1.2425,45.13345003391556,-1.0105587510963328,,,,,,neutrophiles,absolute_error,,,,4.0,2.0,random,,,,,,,
SALIVA,0.8,Decision Tree Regressor (GridSearchCV),1.7872524803651637,1.2819047619047619,45.69786332844982,-0.9373562913491962,,,,,,neutrophiles,absolute_error,,,,2.0,10.0,random,,,,,,,
SERUM,0.8,Decision Tree Regressor (GridSearchCV),1.5194142151996335,1.1726607142857142,38.126092653447515,-0.5806335736559092,,,,,,neutrophiles,squared_error,,,,4.0,10.0,random,,,,,,,
SERUM,0.8,Decision Tree Regressor (GridSearchCV),1.2512488761233713,0.9537500000000001,30.741095515669315,-0.0719295238938844,,,,,,neutrophiles,absolute_error,,,,4.0,2.0,best,,,,,,,
SERUM,0.8,Decision Tree Regressor (GridSearchCV),1.5194142151996335,1.1726607142857142,38.126092653447515,-0.5806335736559092,,,,,,neutrophiles,squared_error,,,,4.0,10.0,random,,,,,,,
SERUM,0.8,Decision Tree Regressor (GridSearchCV),1.2512488761233713,0.9537500000000001,30.741095515669315,-0.0719295238938844,,,,,,neutrophiles,absolute_error,,,,4.0,2.0,best,,,,,,,
URINE,0.8,Decision Tree Regressor (GridSearchCV),1.644237345205497,1.144342105263158,28.301312698772197,-0.7520779424431554,,,,,,neutrophiles,absolute_error,,,,2.0,10.0,random,,,,,,,
URINE,0.8,Decision Tree Regressor (GridSearchCV),1.8456280954524726,1.3096198830409358,36.27866456597899,-1.207561399306384,,,,,,neutrophiles,squared_error,,,,2.0,10.0,random,,,,,,,
URINE,0.8,Decision Tree Regressor (GridSearchCV),1.644237345205497,1.144342105263158,28.301312698772197,-0.7520779424431554,,,,,,neutrophiles,absolute_error,,,,2.0,10.0,random,,,,,,,
