Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
CAPILAR,0.8,MLP Regressor (GridSearchCV),1.4571377441255977,0.6733868602149929,4.18657642143561,-0.022182791100032073,tanh,0.001,"(50, 50)",adaptive,sgd,rdw,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),1.6046543315794408,0.8420972829144399,5.3216337728752805,-0.23962502509542527,tanh,0.001,"(50, 50)",constant,sgd,rdw,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),1.4571377441256503,0.673386860215226,4.186576421437555,-0.022182791100105792,tanh,0.001,"(50, 50)",adaptive,sgd,rdw,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),1.4206384051436465,0.6857367939061737,4.281873683885949,0.028384461414841744,relu,0.001,"(100,)",constant,adam,rdw,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.5891138650542616,1.0134231634147945,6.743533977797432,-0.2509088491034972,tanh,0.001,"(50, 50)",adaptive,sgd,rdw,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.9312685648878574,1.2122342015050807,8.002483544069207,-0.8475703079094168,tanh,0.001,"(50, 50)",adaptive,sgd,rdw,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.5891138650542729,1.0134231634147912,6.743533977797404,-0.25090884910351496,tanh,0.001,"(50, 50)",adaptive,sgd,rdw,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),1.452822790832228,0.7353958326375428,4.683192680311702,-0.045540641936756554,tanh,0.001,"(50,)",constant,adam,rdw,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),1.8874477202232587,1.2619798036815173,8.466145473936246,-0.5140115580001412,tanh,0.001,"(50, 50)",constant,sgd,rdw,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),1.6858415688358646,0.8575279003723376,5.4482021911386305,-0.20784955880944977,tanh,0.001,"(50, 50)",adaptive,sgd,rdw,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),1.887447720223261,1.2619798036815144,8.466145473936226,-0.5140115580001448,tanh,0.001,"(50, 50)",constant,sgd,rdw,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),1.5403058300726928,0.7178064743738591,4.574490663392659,-0.008308078790717932,tanh,0.0001,"(100,)",constant,sgd,rdw,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.660511448392227,0.9026687458496696,5.9045707339318,-0.3029517123569858,tanh,0.0001,"(50, 50)",adaptive,sgd,rdw,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.7980133450823543,1.069145440759239,7.009985005858139,-0.5276729690248056,tanh,0.001,"(50, 50)",constant,sgd,rdw,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.6605114483922498,0.9026687458496634,5.904570733931751,-0.30295171235702156,tanh,0.0001,"(50, 50)",adaptive,sgd,rdw,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),1.4917688261733593,0.8724550514104195,5.807338499586194,-0.05159285662886126,tanh,0.0001,"(50,)",constant,adam,rdw,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.8827684494499226,1.1137610405349012,7.188042373004356,-0.6119045706592614,tanh,0.001,"(50, 50)",constant,sgd,rdw,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.6983691675024042,0.9926560477951569,6.531854610414273,-0.31162503275107656,tanh,0.001,"(50, 50)",constant,sgd,rdw,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.8827684494499954,1.113761040534932,7.188042373004552,-0.6119045706593862,tanh,0.001,"(50, 50)",constant,sgd,rdw,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),1.493895695598723,0.7492140569819471,4.786262075436206,-0.014813076213151977,relu,0.0001,"(50, 50)",constant,sgd,rdw,,,,,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),1.3608311705179532,0.6302842876847607,3.9139398382662622,0.1084702368985011,,,,,,rdw,squared_error,8.0,sqrt,200.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),1.3826380164798682,0.6333076923076926,3.930417747932414,0.07966839300748885,,,,,,rdw,absolute_error,8.0,sqrt,100.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),1.3608311705179532,0.6302842876847607,3.9139398382662622,0.1084702368985011,,,,,,rdw,squared_error,8.0,sqrt,200.0,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),1.3826380164798682,0.6333076923076926,3.930417747932414,0.07966839300748885,,,,,,rdw,absolute_error,8.0,sqrt,100.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),1.389399994038415,0.6957891930988106,4.438285388209987,0.04375271228262001,,,,,,rdw,squared_error,12.0,sqrt,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),1.3838276095436128,0.6935206071556455,4.4221277397289365,0.05140765985199047,,,,,,rdw,squared_error,8.0,sqrt,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),1.389399994038415,0.6957891930988106,4.438285388209987,0.04375271228262001,,,,,,rdw,squared_error,12.0,sqrt,200.0,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),1.3838276095436128,0.6935206071556455,4.4221277397289365,0.05140765985199047,,,,,,rdw,squared_error,8.0,sqrt,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),1.5474824080636767,0.7134144169335496,4.46843286490347,-0.01772576564856987,,,,,,rdw,squared_error,4.0,sqrt,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),1.5659759166183154,0.7020952380952385,4.386948640730619,-0.04219620110439859,,,,,,rdw,absolute_error,4.0,log2,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),1.5474824080636767,0.7134144169335496,4.46843286490347,-0.01772576564856987,,,,,,rdw,squared_error,4.0,sqrt,200.0,,,,,,,,,,
