Wavenumber (cm⁻¹),Importance,target_variable,Sample Type,Train Percentage,Model,Search Type,RMSE,MAE,MAPE,R²,run_id,run_name
1643.064683245607,0.006585071040474045,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1641.136203570436,0.006277100469860974,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1072.23469939502,0.006188471657756761,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1070.306219719849,0.0061672596729199294,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1074.163179070191,0.0060604345244662395,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1068.377740044679,0.006010111313424157,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1076.091658745362,0.005929847804502496,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1078.020138420533,0.005833817092564514,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1066.449260369508,0.0057375059978087605,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1079.948618095704,0.005729553071800945,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1081.877097770875,0.0056753906662384765,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.62353372413119,4.9875461227461555,12.244487926098376,0.15328360149183262,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
