mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,Sample Type,Train Percentage,Model,param_criterion,param_max_depth,param_max_features,param_n_estimators,criterion,max_depth,max_features,n_estimators,param_min_samples_leaf,param_min_samples_split,param_splitter,min_samples_leaf,min_samples_split,splitter,param_colsample_bytree,param_subsample,colsample_bytree,subsample,param_learning_rate_init,param_max_iter,learning_rate_init,max_iter,param_bootstrap,bootstrap,param_gamma,param_min_child_weight,gamma,min_child_weight
0.06832613945007324,0.020057793479661197,0.00037326812744140623,2.5123753012854965e-05,relu,0.0001,"(50,)",constant,adam,-455.4450347572885,-875.3129558620785,-562.3430046243692,-275.34154521427604,-181.76432800275353,-470.04137369215323,242.4827324896707,21,relu,0.0001,"(50,)",constant,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.27545952796936035,0.0011969636212235373,0.00040950775146484373,2.1181769963936253e-05,relu,0.0001,"(50,)",constant,sgd,-191978851.64274922,-223397785.67602602,-186762868.83549717,-196451677.5039736,-266401815.04269037,-212998599.7401873,29543156.549184147,43,relu,0.0001,"(50,)",constant,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06785893440246582,0.020210769354499364,0.00035762786865234375,5.621827183986471e-06,relu,0.0001,"(50,)",adaptive,adam,-455.4450347572885,-875.3129558620785,-562.3430046243692,-275.34154521427604,-181.76432800275353,-470.04137369215323,242.4827324896707,21,relu,0.0001,"(50,)",adaptive,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2762727737426758,0.0020817221659524864,0.00040616989135742185,3.0160694716240622e-05,relu,0.0001,"(50,)",adaptive,sgd,-191978851.64274922,-223397785.67602602,-186762868.83549717,-196451677.5039736,-266401815.04269037,-212998599.7401873,29543156.549184147,43,relu,0.0001,"(50,)",adaptive,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1429729461669922,0.07344444101641698,0.0003926277160644531,1.6169912935423934e-05,relu,0.0001,"(100,)",constant,adam,-357.8257488416671,-251.77000334848174,-368.4499305278901,-2233.5392169548754,-142.94873288711727,-670.9067265120063,785.5870859351434,25,relu,0.0001,"(100,)",constant,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3639822006225586,0.012646040496174208,0.0004168033599853516,2.9059459529998784e-05,relu,0.0001,"(100,)",constant,sgd,-252878603.7400223,-224136787.2971576,-251712280.75595477,-250595853.79808894,-239298077.8039296,-243724320.67903066,10936996.497512301,47,relu,0.0001,"(100,)",constant,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14606528282165526,0.07612088490585636,0.0003818988800048828,1.325864561077716e-05,relu,0.0001,"(100,)",adaptive,adam,-357.8257488416671,-251.77000334848174,-368.4499305278901,-2233.5392169548754,-142.94873288711727,-670.9067265120063,785.5870859351434,25,relu,0.0001,"(100,)",adaptive,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3658163070678711,0.014644351312938368,0.00039796829223632814,1.5473641303479317e-05,relu,0.0001,"(100,)",adaptive,sgd,-252878603.7400223,-224136787.2971576,-251712280.75595477,-250595853.79808894,-239298077.8039296,-243724320.67903066,10936996.497512301,47,relu,0.0001,"(100,)",adaptive,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.019101762771606447,0.0036822404373782185,0.0003641605377197266,4.695332956348866e-06,relu,0.0001,"(50, 50)",constant,adam,-1281.563826109631,-1070.3964323507475,-1270.8982725743326,-1189.8307860405398,-383.9528746133979,-1039.32843833773,336.28436706466374,29,relu,0.0001,"(50, 50)",constant,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005362701416015625,2.0227902113346156e-05,0.00035414695739746096,8.723122962782998e-06,relu,0.0001,"(50, 50)",constant,sgd,-4228912.975507512,-5154687.538176234,-3692542.2556708744,-4314594.539086071,-4372396.583971532,-4352626.778482445,468221.1958006721,39,relu,0.0001,"(50, 50)",constant,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
